"record_id","student_id","student_full_name","gender","student_age","date_of_birth","admission_date","grade_level","class_stream","school_id","school_name","school_type","school_subcounty","school_county","school_region","student_subcounty","student_county","student_region","teacher_id","teacher_name","teacher_gender","teacher_subject_specialty","teacher_subcounty","teacher_county","teacher_region","subject_id","subject_name","assessment_type","score","attendance_rate_pct","fee_balance_kes","scholarship_status","learning_mode"
EDU-0303,STU-1303,Cynthia Ochieng Onyango,F,14,2012-02-07,2022-07-04,"8",Grade 8B,SCH003,Langata Plains School,Private,Nairobi,Nairobi,Nairobi,Thika Town,Kiambu,Central,T003,Esther Naliaka,F,Kiswahili,Kisumu East,Kiambu,Nyanza,SUB003,Kiswahili,Practical,47,95,5000,No,Unknown
EDU-0219,STU-1219,Collins Omondi Muthama,Unknown,12,2012-04-02,2023-11-15,"8",Grade 7B,SCH003,Langata Plains School,Private,Nairobi,Nairobi,Nairobi,Thika Town,Kiambu,Central,T003,Esther Naliaka,F,Kiswahili,Kisumu East,Kisumu,Nyanza,SUB003,Kiswahili,Practical,87,79,15000,No,Unknown
EDU-0080,STU-1080,Kevin Kiptoo Kimutai,F,15,2015-09-03,2022-11-28,"8",Grade 9A,SCH008,Kisumu Lakeview School,Public,Kisumu,Kisumu,Nyanza,Naivasha,Nakuru,Rift Valley,T002,Brian Kiptoo,M,English,Ruiru,Kiambu,Central,SUB002,English,Unknown,49,83,5000,No,Unknown
EDU-0143,STU-1143,Victor Njoki Kimutai,M,13,2014-11-27,2023-09-12,"7",Grade 9A,SCH011,Athi River Stem School,Private,Machakos,Machakos,Eastern,Mvita,Mombasa,Coast,T005,Fatuma Ali,F,Computer Studies,Mvita,Mombasa,Coast,SUB005,Computer Studies,Practical,70,84,1200,No,Unknown
EDU-0300,STU-1300,Ivy Maina Chebet,F,14,2010-04-30,2023-01-17,"8",Grade 9A,SCH012,Naivasha Bright School,Public,Nakuru,Nakuru,Rift Valley,Kisauni,Mombasa,Coast,T006,Daniel Otieno,M,Business Studies,Eldoret East,Uasin Gishu,Rift Valley,SUB006,Business Studies,CAT-1,38,91,15000,No,Unknown
EDU-0175,STU-1175,Susan Akinyi Abdi,F,14,2011-07-04,2023-12-27,"9",Grade 9A,SCH007,Kisauni Future School,Private,Mombasa,Mombasa,Coast,Athi River,Machakos,Eastern,T001,Amina Wanjiru,F,Mathematics,Westlands,Nairobi,Nairobi,SUB001,Mathematics,Unknown,87,57,10000,Partial,Unknown
EDU-0184,STU-1184,Grace Atieno Onyango,F,13,2010-09-14,2022-11-11,"9",Grade 9B,SCH004,Ruiru Sunrise School,Public,Kiambu,Kiambu,Central,Langata,Nairobi,Nairobi,T004,Peter Mwangi,M,Biology,Thika Town,Kiambu,Central,SUB004,Biology,End-Term,75,0,5000,No,Unknown
EDU-0018,STU-1018,Lucy Odhiambo Mwangi,M,13,2014-03-31,2022-10-15,"7",Grade 9B,SCH006,Mvita Coast School,Public,Mombasa,Mombasa,Coast,Eldoret East,Uasin Gishu,Rift Valley,T006,Daniel Otieno,M,Business Studies,Eldoret East,Uasin Gishu,Rift Valley,SUB006,Business Studies,Unknown,50,59,5000,Yes,Unknown
EDU-0280,STU-1280,Ezra Adhiambo Koech,F,12,2014-12-07,2022-06-30,"8",Grade 7A,SCH004,Ruiru Sunrise School,Public,Kiambu,Kiambu,Central,Thika Town,Kiambu,Central,T004,Peter Mwangi,M,Biology,Thika Town,Kiambu,Central,SUB004,Biology,End-Term,56,72,10000,Partial,Unknown
EDU-0302,STU-1302,Phyllis Mwikali Muthama,M,16,2013-10-19,2024-06-22,"8",Grade 7B,SCH002,Embakasi Hope Junior,Public,Nairobi,Nairobi,Nairobi,Embakasi East,Nairobi,Nairobi,T002,Brian Kiptoo,M,English,Ruiru,Kiambu,Central,SUB002,English,Unknown,42,72,7500,No,Unknown
EDU-0182,STU-1182,Irene Achieng Rono,F,16,2011-09-21,2023-06-20,"8",Grade 9A,SCH002,Embakasi Hope Junior,Public,Nairobi,Nairobi,Nairobi,Eldoret East,Uasin Gishu,Rift Valley,T002,Brian Kiptoo,M,English,Ruiru,Kiambu,Central,SUB002,English,CAT-1,47,97,2500,Yes,Unknown
EDU-0081,STU-1081,Allan Akinyi Simiyu,M,13,2013-07-02,2022-03-15,"8",Grade 9B,SCH009,Eldoret Valley Academy,Private,Uasin Gishu,Uasin Gishu,Rift Valley,Langata,Nairobi,Nairobi,T003,Esther Naliaka,F,Kiswahili,Kisumu East,Kisumu,Nyanza,SUB003,Kiswahili,Practical,36,58,15000,Partial,Unknown
EDU-0127,STU-1127,Doreen Ochieng Ali,Unknown,13,2012-04-14,2023-08-16,"9",Grade 9B,SCH007,Kisauni Future School,Private,Mombasa,Mombasa,Coast,Ruiru,Kiambu,Central,T001,Amina Wanjiru,F,Mathematics,Westlands,Nairobi,Nairobi,SUB001,Mathematics,CAT-1,23,64,15000,No,Unknown
EDU-0217,STU-1217,David Muthoni Korir,M,12,2014-01-05,2022-03-25,"8",Grade 8A,SCH001,Garden Court Academy,Private,Nairobi,Nairobi,Nairobi,Athi River,Machakos,Eastern,T001,Amina Wanjiru,F,Mathematics,Westlands,Nairobi,Nairobi,SUB001,Mathematics,Practical,25,0,15000,No,Unknown
EDU-0252,STU-1252,Moureen Njoki Gichuru,M,18,2010-07-05,2024-03-21,"8",Grade 9B,SCH012,Naivasha Bright School,Public,Nakuru,Nakuru,Rift Valley,Westlands,Nairobi,Nairobi,T006,Daniel Otieno,M,Business Studies,Eldoret East,Uasin Gishu,Rift Valley,SUB006,Business Studies,Mid-Term,94,68,15000,No,Unknown
EDU-0178,STU-1178,Jemimah Mbugua Kipsang,F,12,2012-11-25,2024-07-18,"7",Grade 8A,"",Lurambi Green School,Public,Kakamega,Kakamega,Western,Kisumu East,Kisumu,Nyanza,T004,Peter Mwangi,M,Biology,Thika Town,Kiambu,Central,SUB004,Biology,Mid-Term,60,89,1200,Partial,Unknown
EDU-0154,STU-1154,Navas Wafula Oduor,M,17,2011-07-12,2024-03-23,"7",Grade 9A,SCH010,Lurambi Green School,Public,Kakamega,Kakamega,Western,Thika Town,Kiambu,Central,T004,Peter Mwangi,M,Biology,Thika Town,Kiambu,Central,SUB004,Biology,Mid-Term,38,59,7500,Yes,Unknown
EDU-0048,STU-1048,Phyllis Kilonzo Kiprono,F,15,2010-07-03,2024-01-30,"7",Grade 9B,SCH012,Naivasha Bright School,Public,Nakuru,Nakuru,Rift Valley,Kisauni,Mombasa,Coast,T006,Daniel Otieno,M,Business Studies,Eldoret East,Uasin Gishu,Rift Valley,SUB006,Business Studies,Unknown,72,85,7500,Yes,Unknown
EDU-0183,STU-1183,Daniel Auma Chege,M,17,2011-02-28,2022-06-01,"9",Grade 8B,SCH003,Langata Plains School,Private,Nairobi,Nairobi,Nairobi,Naivasha,Nakuru,Rift Valley,T003,Esther Naliaka,F,Kiswahili,Kisumu East,Kisumu,Nyanza,SUB003,Kiswahili,End-Term,68,86,7500,No,Unknown
EDU-0152,STU-1152,Susan Akinyi Mohamed,F,16,2014-05-18,2024-02-04,"7",Grade 8A,SCH008,Kisumu Lakeview School,Public,Kisumu,Kisumu,Nyanza,Lurambi,Kakamega,Western,T002,Brian Kiptoo,M,English,Ruiru,Kiambu,Central,SUB002,English,End-Term,40,57,0,Yes,Unknown
EDU-0321,STU-1321,Beatrice Wairimu Mutiso,M,17,2011-06-23,2024-08-22,"9",Grade 7A,SCH009,Eldoret Valley Academy,Private,Uasin Gishu,Uasin Gishu,Rift Valley,Westlands,Nairobi,Nairobi,T003,Esther Naliaka,F,Kiswahili,Kisumu East,Kisumu,Nyanza,SUB003,Kiswahili,Practical,58,99,0,Yes,Unknown
EDU-0261,STU-1261,Caroline Naliaka Korir,M,17,2012-04-30,2022-04-03,"8",Grade 7B,SCH009,Eldoret Valley Academy,Private,Uasin Gishu,Uasin Gishu,Rift Valley,Thika Town,Kiambu,Central,T003,Esther Naliaka,F,Kiswahili,Kisumu East,Kisumu,Nyanza,SUB003,Kiswahili,Mid-Term,58.5,80,7500,Partial,Unknown
EDU-0299,STU-1299,Stephen Ochieng Onyango,M,17,2015-05-09,2023-11-29,"8",Grade 9A,SCH011,Athi River Stem School,Private,Machakos,Machakos,Eastern,Ruiru,Kiambu,Central,T005,Fatuma Ali,F,Computer Studies,Mvita,Mombasa,Coast,SUB005,Computer Studies,Mid-Term,40,0,1200,No,Unknown
EDU-0115,STU-1115,Hassan Nyambura Gichuru,F,16,2013-07-23,2022-11-29,"8",Grade 9B,SCH007,Kisauni Future School,Private,Mombasa,Mombasa,Coast,Embakasi East,Nairobi,Nairobi,T001,Amina Wanjiru,F,Mathematics,Westlands,Nairobi,Nairobi,SUB001,Mathematics,Practical,92,0,10000,Yes,Unknown
EDU-0086,STU-1086,Janet Mburu Kituku,F,17,2010-11-28,2023-06-15,"7",Grade 8A,SCH002,Embakasi Hope Junior,Public,Nairobi,Nairobi,Nairobi,Kisauni,Mombasa,Coast,T002,Brian Kiptoo,M,English,Ruiru,Kiambu,Central,SUB002,English,Mid-Term,32,0,15000,No,Unknown
EDU-0047,STU-1047,Dennis Kiptoo Kipsang,M,15,2012-12-15,2023-11-18,"9",Grade 7A,SCH011,Athi River Stem School,Private,Machakos,Machakos,Eastern,Ruiru,Kiambu,Central,T005,Fatuma Ali,F,Computer Studies,Mvita,Mombasa,Coast,SUB005,Computer Studies,CAT-1,41,67,5000,No,Unknown
EDU-0091,STU-1091,Susan Kilonzo Waweru,F,15,2010-06-10,2024-03-19,"8",Grade 9A,SCH007,Kisauni Future School,Private,Mombasa,Mombasa,Coast,Athi River,Machakos,Eastern,T001,Amina Wanjiru,F,Mathematics,Westlands,Nairobi,Nairobi,SUB001,Mathematics,Practical,30,94,5000,No,Boarding
EDU-0223,STU-1223,Purity Jepchirchir Mburu,M,15,2013-08-06,2022-09-12,"8",Grade 8A,SCH007,Kisauni Future School,Private,Mombasa,Mombasa,Coast,Thika Town,Kiambu,Central,T001,Amina Wanjiru,F,Mathematics,Westlands,Nairobi,Nairobi,SUB001,Mathematics,Mid-Term,68,88,5000,No,Boarding
EDU-0180,STU-1180,Doreen Chebet Macharia,F,15,2012-05-02,2022-03-09,"9",Grade 9B,SCH012,Naivasha Bright School,Public,Nakuru,Nakuru,Rift Valley,Embakasi East,Nairobi,Nairobi,T006,Daniel Otieno,M,Business Studies,Eldoret East,Uasin Gishu,Rift Valley,SUB006,Business Studies,End-Term,54,86,10000,No,Boarding
EDU-0287,STU-1287,Christine Jepchirchir Bwire,M,14,2014-08-25,2023-01-09,"8",Grade 9B,SCH011,Athi River Stem School,Private,Machakos,Machakos,Eastern,Langata,Nairobi,Nairobi,T005,Fatuma Ali,F,Computer Studies,Mvita,Mombasa,Coast,SUB005,Computer Studies,CAT-1,4,62,0,No,Day
EDU-0176,STU-1176,Daisy Auma Kiplimo,M,18,2014-07-10,2024-04-26,"8",Grade 9B,SCH008,Kisumu Lakeview School,Public,Kisumu,Kisumu,Nyanza,Embakasi East,Nairobi,Nairobi,T002,Brian Kiptoo,M,English,Ruiru,Kiambu,Central,SUB002,English,Mid-Term,44,61,0,No,Day
EDU-0284,STU-1284,Winnie Nyanchama Onyango,F,14,2012-11-11,,"8",Grade 8B,SCH008,Kisumu Lakeview School,Public,Kisumu,Kisumu,Nyanza,Thika Town,Kiambu,Central,T002,Brian Kiptoo,M,English,Ruiru,Kiambu,Central,SUB002,English,Practical,33,85,15000,No,Day
EDU-0103,STU-1103,Patrick Odhiambo Musyoka,F,15,2010-06-18,2022-11-17,"7",Grade 7A,SCH007,Kisauni Future School,Private,Mombasa,Mombasa,Coast,Naivasha,Nakuru,Rift Valley,T001,Amina Wanjiru,F,Mathematics,Westlands,Nairobi,Nairobi,SUB001,Mathematics,CAT-2,75,70,5000,No,Unknown
EDU-0297,STU-1297,Elijah Akinyi Abdi,M,18,2011-06-24,2024-09-20,"8",Grade 7B,SCH009,Eldoret Valley Academy,Private,Uasin Gishu,Uasin Gishu,Rift Valley,Lurambi,Kakamega,Western,T003,Esther Naliaka,F,Kiswahili,Kisumu East,Kisumu,Nyanza,SUB003,Kiswahili,Unknown,91,69,2500,No,Day
EDU-0190,STU-1190,Joseph Mwikali Chege,F,16,2010-05-28,2024-08-03,"7",Grade 8A,SCH010,Lurambi Green School,Public,Kakamega,Kakamega,Western,Lurambi,Kakamega,Western,T004,Peter Mwangi,M,Biology,Thika Town,Kiambu,Central,SUB004,Biology,Mid-Term,84,90,15000,No,Hybrid
EDU-0209,STU-1209,Caroline Kilonzo Mwangi,M,16,2014-03-12,2023-09-06,"8",Grade 7B,SCH005,Thika Digital Academy,Private,Kiambu,Kiambu,Central,Eldoret East,Uasin Gishu,Rift Valley,T005,Fatuma Ali,F,Computer Studies,Mvita,Mombasa,Coast,SUB005,Computer Studies,CAT-1,53,68,1200,No,Day
EDU-0093,STU-1093,Peter Nekesa Omondi,M,12,2013-06-10,2022-04-18,"7",Grade 8A,SCH009,Eldoret Valley Academy,Private,Uasin Gishu,Uasin Gishu,Rift Valley,Thika Town,Kiambu,Central,T003,Esther Naliaka,F,Kiswahili,Kisumu East,Kisumu,Nyanza,SUB003,Kiswahili,Practical,45,0,0,No,Hybrid
EDU-0227,STU-1227,Beatrice Maina Koech,Unknown,16,2015-03-16,2024-08-01,"8",Grade 9B,SCH011,Athi River Stem School,Private,Machakos,Machakos,Eastern,Mvita,Mombasa,Coast,T005,Fatuma Ali,F,Computer Studies,Mvita,Mombasa,Coast,SUB005,Computer Studies,Practical,24,70,15000,No,Boarding
EDU-0270,STU-1270,Martin Kiplagat Muthama,F,14,2014-02-07,2022-05-14,"9",Grade 7A,SCH006,Mvita Coast School,Public,Mombasa,Mombasa,Coast,Eldoret East,Uasin Gishu,Rift Valley,T006,Daniel Otieno,M,Business Studies,Eldoret East,Uasin Gishu,Rift Valley,SUB006,Business Studies,End-Term,67,80,0,No,Boarding
EDU-0119,STU-1119,Collins Wambui Njeri,Unknown,14,2013-09-19,2024-09-07,"9",Grade 8A,SCH011,Athi River Stem School,Private,Machakos,Machakos,Eastern,Langata,Nairobi,Nairobi,T005,Fatuma Ali,F,Computer Studies,Mvita,Mombasa,Coast,SUB005,Computer Studies,Practical,58.5,64,0,No,Boarding
EDU-0255,STU-1255,Sharon Njoroge Maalim,M,18,2012-02-21,2024-08-18,"9",Grade 9A,SCH003,Langata Plains School,Private,Nairobi,Nairobi,Nairobi,Lurambi,Kakamega,Western,T003,Esther Naliaka,F,Kiswahili,Kisumu East,Kisumu,Nyanza,SUB003,Kiswahili,Practical,58.5,67,1200,No,Day
EDU-0159,STU-1159,Irene Rotich Mwangi,F,2,2013-03-18,2024-04-12,"9",Grade 7B,SCH003,Langata Plains School,Private,Nairobi,Nairobi,Nairobi,Kisumu East,Kisumu,Nyanza,T003,Esther Naliaka,F,Kiswahili,Kisumu East,Kisumu,Nyanza,SUB003,Kiswahili,CAT-1,82,89,7500,No,Day
EDU-0220,STU-1220,Herbert Wanjiru Cheruiyot,M,13,2011-05-30,2023-03-20,"8",Grade 9A,SCH004,Ruiru Sunrise School,Public,Kiambu,Kiambu,Central,Kisumu East,Kisumu,Nyanza,T004,Peter Mwangi,M,Biology,Thika Town,Kiambu,Central,SUB004,Biology,Practical,23,86,0,No,Day
EDU-0308,STU-1308,Pauline Barasa Nyaga,Unknown,17,2013-01-17,2023-09-18,"7",Grade 7A,SCH008,Kisumu Lakeview School,Public,Kisumu,Kisumu,Nyanza,Eldoret East,Uasin Gishu,Rift Valley,T002,Brian Kiptoo,M,English,Ruiru,Kiambu,Central,SUB002,English,Practical,33,68,10000,No,Boarding
EDU-0025,STU-1025,Leonard Nduta Mburu,M,12,2014-05-06,2023-08-26,"9",Grade 8A,SCH001,Garden Court Academy,Private,Nairobi,Nairobi,Nairobi,Kisauni,Mombasa,Coast,T001,Amina Wanjiru,F,Mathematics,Westlands,Nairobi,Nairobi,SUB001,Mathematics,Mid-Term,29,76,10000,No,Day
EDU-0257,STU-1257,Theo Kiplagat Mburu,F,18,2010-12-18,2023-11-09,"8",Grade 7B,SCH005,Thika Digital Academy,Private,Kiambu,Kiambu,Central,Ruiru,Kiambu,Central,T005,Fatuma Ali,F,Computer Studies,Mvita,Mombasa,Coast,SUB005,Computer Studies,End-Term,43,57,2500,No,Boarding
EDU-0073,STU-1073,Navas Makena Ali,M,16,2014-02-12,2023-12-25,"9",Grade 9B,SCH001,Garden Court Academy,Private,Nairobi,Nairobi,Nairobi,Embakasi East,Nairobi,Nairobi,T001,Amina Wanjiru,F,Mathematics,Westlands,Nairobi,Nairobi,SUB001,Mathematics,CAT-2,47,68,5000,No,Boarding
EDU-0099,STU-1099,Linda Muthoni Macharia,M,12,2012-02-23,2022-06-03,"7",Grade 7B,SCH003,Langata Plains School,Private,Nairobi,Nairobi,Nairobi,Naivasha,Nakuru,Rift Valley,T003,Esther Naliaka,F,Kiswahili,Kisumu East,Kisumu,Nyanza,SUB003,Kiswahili,Mid-Term,80,74,5000,No,Hybrid
EDU-0289,STU-1289,Felix Wairimu Muli,F,12,2010-12-06,2022-10-29,"7",Grade 7A,SCH001,Garden Court Academy,Private,Nairobi,Nairobi,Nairobi,Eldoret East,Uasin Gishu,Rift Valley,T001,Amina Wanjiru,F,Mathematics,Westlands,Nairobi,Nairobi,SUB001,Mathematics,Mid-Term,58.5,84,0,No,Unknown
EDU-0239,STU-1239,Mary Mbugua Maiyo,F,18,2014-08-24,2023-06-30,"7",Grade 7B,SCH011,Athi River Stem School,Private,Machakos,Machakos,Eastern,Kisumu East,Kisumu,Nyanza,T005,Fatuma Ali,F,Computer Studies,Mvita,Mombasa,Coast,SUB005,Computer Studies,Practical,47,63,0,No,Boarding
EDU-0056,STU-1056,Purity Auma Kipsang,M,16,2013-05-25,2022-04-09,"8",Grade 7A,SCH008,Kisumu Lakeview School,Public,Kisumu,Kisumu,Nyanza,Eldoret East,Uasin Gishu,Rift Valley,T002,Brian Kiptoo,M,English,Ruiru,Kiambu,Central,SUB002,English,Practical,23,68,1200,No,Unknown
EDU-0106,STU-1106,Stephen Langat Odhiambo,F,2,2012-06-17,2022-12-14,"9",Grade 8A,SCH010,Lurambi Green School,Public,Kakamega,Kakamega,Western,Lurambi,Kakamega,Western,T004,Peter Mwangi,M,Biology,Thika Town,Kiambu,Central,SUB004,Biology,Practical,82,55,15000,No,Day
EDU-0205,STU-1205,George Maina Omondi,F,14,2014-11-23,2024-02-20,"8",Grade 8B,SCH001,Garden Court Academy,Private,Nairobi,Nairobi,Nairobi,Eldoret East,Uasin Gishu,Rift Valley,T001,Amina Wanjiru,F,Mathematics,Westlands,Nairobi,Nairobi,SUB001,Mathematics,Practical,4,100,0,No,Hybrid
EDU-0163,STU-1163,Samuel Makena Cheruiyot,M,17,2011-01-19,2022-10-21,"8",Grade 9A,SCH007,Kisauni Future School,Private,Mombasa,Mombasa,Coast,Eldoret East,Uasin Gishu,Rift Valley,T001,Amina Wanjiru,F,Mathematics,Westlands,Nairobi,Nairobi,SUB001,Mathematics,Mid-Term,24,70,5000,No,Day
EDU-0095,STU-1095,Samuel Nduta Wanjala,M,16,2014-02-08,2022-06-27,"7",Grade 7B,SCH011,Athi River Stem School,Private,Machakos,Machakos,Eastern,Athi River,Machakos,Eastern,T005,Fatuma Ali,F,Computer Studies,Mvita,Mombasa,Coast,SUB005,Computer Studies,Unknown,50,94,2500,No,Boarding
EDU-0139,STU-1139,Esther Jepchirchir Njeri,M,16,2012-09-16,2023-08-10,"9",Grade 9B,SCH007,Kisauni Future School,Private,Mombasa,Mombasa,Coast,Thika Town,Kiambu,Central,T001,Amina Wanjiru,F,Mathematics,Westlands,Nairobi,Nairobi,SUB001,Mathematics,Unknown,22,82,15000,No,Boarding
EDU-0173,STU-1173,Janet Rotich Kimutai,F,13,2015-08-24,2023-03-24,"7",Grade 8A,SCH005,Thika Digital Academy,Private,Kiambu,Kiambu,Central,Ruiru,Kiambu,Central,T005,Fatuma Ali,F,Computer Studies,Mvita,Mombasa,Coast,SUB005,Computer Studies,End-Term,53,78,1200,No,Boarding
EDU-0055,STU-1055,Samuel Kariuki Korir,F,16,2013-09-14,2022-02-23,"9",Grade 9A,SCH007,Kisauni Future School,Private,Mombasa,Mombasa,Coast,Thika Town,Kiambu,Central,T001,Amina Wanjiru,F,Mathematics,Westlands,Nairobi,Nairobi,SUB001,Mathematics,Practical,87,81,0,No,Day
EDU-0013,STU-1013,Ann Ochieng Oduor,F,18,2012-07-24,2024-08-07,"7",Grade 8A,SCH001,Garden Court Academy,Private,Nairobi,Nairobi,Nairobi,Thika Town,Kiambu,Central,T001,Amina Wanjiru,F,Mathematics,Westlands,Nairobi,Nairobi,SUB001,Mathematics,Practical,61,98,0,No,Day
EDU-0071,STU-1071,David Njoroge Bwire,F,15,2014-06-04,,"7",Grade 8A,SCH011,Athi River Stem School,Private,Machakos,Machakos,Eastern,Kisumu East,Kisumu,Nyanza,T005,Fatuma Ali,F,Computer Studies,Mvita,Mombasa,Coast,SUB005,Computer Studies,Unknown,72,69,2500,No,Boarding
EDU-0212,STU-1212,Ivy Rotich Ali,Unknown,2,2014-06-23,2022-11-16,"8",Grade 7A,SCH008,Kisumu Lakeview School,Public,Kisumu,Kisumu,Nyanza,Kisauni,Mombasa,Coast,T002,Brian Kiptoo,M,English,Ruiru,Kiambu,Central,SUB002,English,Unknown,81,0,0,No,Boarding
EDU-0072,STU-1072,Winnie Njoki Achieng,F,13,2014-12-19,2023-04-10,"8",Grade 7B,SCH012,Naivasha Bright School,Public,Nakuru,Nakuru,Rift Valley,Athi River,Machakos,Eastern,T006,Daniel Otieno,M,Business Studies,Eldoret East,Uasin Gishu,Rift Valley,SUB006,Business Studies,CAT-1,26,91,15000,No,Hybrid
EDU-0101,STU-1101,Eric Kariuki Koech,F,18,2010-12-21,2022-04-20,"8",Grade 8B,SCH005,Thika Digital Academy,Private,Kiambu,Kiambu,Central,Mvita,Mombasa,Coast,T005,Fatuma Ali,F,Computer Studies,Mvita,Kiambu,Coast,SUB005,Computer Studies,Mid-Term,53,100,1200,No,Boarding
EDU-0281,STU-1281,Silas Kilonzo Mohamed,M,15,2014-12-04,2023-02-20,"8",Grade 7A,SCH005,Thika Digital Academy,Private,Kiambu,Kiambu,Central,Kisumu East,Kisumu,Nyanza,T005,Fatuma Ali,F,Computer Studies,Mvita,Mombasa,Coast,SUB005,Computer Studies,CAT-1,94,93,1200,No,Day
EDU-0191,STU-1191,Anthony Nduta Njoroge,F,12,2012-08-31,2023-02-08,"8",Grade 7B,SCH011,Athi River Stem School,Private,Machakos,Machakos,Eastern,Westlands,Nairobi,Nairobi,T005,Fatuma Ali,F,Computer Studies,Mvita,Mombasa,Coast,SUB005,Computer Studies,CAT-1,77,88,2500,No,Day
EDU-0011,STU-1011,Sharon Wafula Duale,F,14,2014-09-09,2022-04-30,"8",Grade 7A,SCH011,Athi River Stem School,Private,Machakos,Machakos,Eastern,Athi River,Machakos,Eastern,T005,Fatuma Ali,F,Computer Studies,Mvita,Mombasa,Coast,SUB005,Computer Studies,Mid-Term,38,80,0,No,Boarding
EDU-0229,STU-1229,Doreen Nyambura Mohamed,M,12,2010-06-02,2022-01-16,"7",Grade 8A,SCH001,Garden Court Academy,Private,Nairobi,Nairobi,Nairobi,Naivasha,Nakuru,Rift Valley,T001,Amina Wanjiru,F,Mathematics,Westlands,Nairobi,Nairobi,SUB001,Mathematics,Practical,32,65,2500,No,Hybrid
EDU-0323,STU-1323,Pauline Wanjala Muthama,F,16,2014-09-11,2023-05-04,"7",Grade 8A,SCH011,Athi River Stem School,Private,Machakos,Machakos,Eastern,Kisumu East,Kisumu,Nyanza,T005,Fatuma Ali,F,Computer Studies,Mvita,Mombasa,Coast,SUB005,Computer Studies,CAT-1,58.5,92,7500,No,Boarding
