Order ID,Order Date,Delivery Date,Customer Name,Customer Type,Customer Age,Region,County,City,Branch,Sales Rep,Lead Source,Car Make,Car Model,Vehicle Type,Vehicle Year,Fuel Type,Transmission,Color,Units Sold,Unit Selling Price,Unit Cost,Discount,Delivery Fee,Logistics Cost,Payment Method,Payment Status,Delivery Status,Customer Rating,Review Count,Returned,Revenue Recorded
LCL1011,06/02/2025,45825,Grace Mutua,Government,thirty,Nairobi,Nairobi,Nairobi,Nairobi Hq,KEVIN MWANGI,Facebook,toyota,corola,Sedan,2026,Petrol,Manual,pearl,1,"KSh 1,932,000","1,648,000",ten percent,"KSh114,000",120000,Bankers Cheque,PAID,completed,3.6 out of 5,9,Returned,"KSh1,814,160"
LC1012,"Oct 11, 2025",45948,Samuel Nyambura,Retail,53,Eastern,Machakos,Athi River,Athi River Yard,BRIAN OTIENO,WALK-IN,Toyota,Harrier,SUV,null,Petrol,A/T,Pearl,2,4721000,3990000,3%,103000,TBD,Bankers Cheque,Awaiting Payment,Delivered,3.9,19,Not Returned,"KSh9,261,740"
LCL1013,14-May-26,not sure,BRIAN MWANGI,dealer,47,Rift Valley,UASINGISHU,ELD,Eldoret Yard,Grace Njeri,walk in,bmw,x5,SUV,2021,Dsl,A/T,Whi,3 cars,10695000,"KSh9,240,000",5%,"KSh 43,000",42000,Bank Transfer,CANCELLED,Cancelled,4.2,9,Returned,KSh 0
LCL1014,21-Apr-25,05/19/2025,Brian Kimani,National Govt,60,Western,Kakamega,Kakamega,Kakamega Yard,Grace Njer1,corp tender,subaru,Subaru xv,Crossover,2023,Petrol,Automatic,Red,4,2637000,#VALUE!,5%,KES 0,"KSh37,000",M Pesa,Completed,At the Yard,5,22,Not Returned,-10079600
ord1015,,29/11/2025,James Kariuki,NGO,68,Nyanza,Kisumu,Kisumu,Kisumu Yard,GRACE,Walkin,Honda,Vezel,CROSSOVER,2024,Petrol,Automatic,WHITE,1,2745000,"KES 2,428,000",,missing,142000,bank,Paid,Delivered,3.8 out of 5,6,Returned,"KSh 1,231,625"
CAR1016,46051,23-Feb-26,Brian Ochieng,Car Dealer,61,Rift Valley,Nakuru,Nakuru,Nakuru Yard,mercy atieno,CORPORATE TENDER,Subaru,Forester,SUV,2018,Petrol,A/T,Black,3,3220000,"KES 2,480,000",0.15,"KSh 17,000",0.03M,Bankers Cheque,Completed,Delivered,4,9,Not Returned,8228000
LCL-1017,02/12/2025,15/02/2025,Kevin Mwangi,Individual,63,Rift Valley,Nakuru,Nakuru,Nakuru Yard,Kev1n Mwangi,Walk-in,Toyota,LC200,SUV,2023,Petrol,A/T,Green,1,13.29M,"10,535,000",12%,KES 0,#VALUE!,M Pesa,Awaiting Payment,In Transit,3.5,29,Not Returned,"KSh 11,794,600"
N/A,46178,46189,Daniel Mugambi,Government,53,Western,Kakamega,Kakamega,Kakamega Yard,grace  njeri,Walk-in,Toyota Kenya,Hilux,pickup,2019,Petrol,AUTO,Blue,N/A,5980000,"KES 4,660,000",3%,35000,34000,Asset Finance,Completed,Delivered,4.6,41,Returned,"KSh 5,835,600"
LCL1019,46192,46218,Brian Njeri,National Govt,58,Nyanza,Kisumu,Kisumu,Kisumu Yard,KEV1N MWANGI,referral,isuzu,N-Series,Truck,2015,Petrol,Manual,Blue,2,-5980000,4954000,NULL,17000,"KSh 31,000",Asset Financing,Awaiting Payment,Delivered,3,0,Not Returned,10183000
ord1020,45969,31/02/2026,Peter Mohamed,National Govt,46,Coast,Mombasa,Mombasa,Mombasa Port Yard,PETER KIPTOO,FACEBOOK,TOYOTA,Prado Tx,SUV,,Petrol,Automatic,Pearl,1,"KSh 6,472,000",5411000,0.15,"KES 93,000",127000,Bank transfer,Partially Paid,In Transit,2.2,11,Not Returned,11188400
ord1021,45667,23/01/2025,Carol Kariuki,Car Dealer,55,Central,Kiambu,Thika,Thika Yard,MERCY ATIENO,Walk-in,mercedes,GLE,SUV,2020,Petrol,Automatic,Green,1,"KES 12,472,000","KES 10,456,000",5 percent,66000,86000,Cash,Partially Paid,Delivered,2,37,Not Returned,11914400
LCL-1022,03/08/2025,"Aug 28, 2025",Joy Kariuki,N/A,24,western,Kakamega,KAKAMEGA,kakamega yard,faith achieng,WhatsApp,Honda,Fit,-,2026,Dsl,A/T,Bla,2,NULL,"KSh 978,000",3%,"KSh39,000","KSh 42,000",mpesa,PAID,,N/A,22,Returned,"KSh 1,213,570"
LC1023,11/04/2026,46150,Hassan Maina,county govt,42,NAIROBI,Nrb,Westlands,Nairobi HQ,BRIAN OTIENO,Website,TOYTA,Corolla,Sedan,2021,Dsl,MANUAL,WHITE,1,"KES 1,946,000","KES 1,663,000",0,120000,"KSh 190,000",Asset Finance,Refunded,AT YARD,3.7,24,Returned,KES 0
LCL1024,23/02/2026,#DATE!,Hassan Kariuki,Ngo,54,Coast,Mombasa,Mombasa,Mombasa Port Yard,kevin  mwangi,Phone Call,Volkswagen,Tiguan,SUV,2025,Petrol,Automatic,Pearl,1,"KSh 5,036,000","KSh 4,380,000",0.1,"KSh 25,000",55000,Bank transfer,Completed,In Transit,3.2,25,Not Returned,4557400
CAR1025,"Apr 16, 2025",05/04/2025,Mary Kimani,GOVERNMENT,55,Central,KIAMBU,Thika,Thika yard,Dan1el Kimani,REFERRAL,Toyta,Prado TX,SUV,2023,pms,Automatic,GREEN,1,8127000,6.6M,0.02,"KES 43,000",65000,M-Pesa,paid,In Transit,3.1 out of 5,34,Returned,8007460
CAR1026,17/10/2025,45960,N/A,Corporate,,Central,Kiambu County,Thika,THIKA YARD,faith achieng,call,Toyota,LAND-CRUISER,SUV,2022,Petrol,automatic,Green,2,"KES 13,695,000","KES 12,337,000",15%,86000,"KSh 137,000",M-Pesa,paid,Delivered,3.5 out of 5,36,Returned,23367500
ORD1027,45770,45785,Brian Kimani,GOVERNMENT,38,Central,Kiambu,Thika,Thika Yard,Aisha Mohamed,FB,TOYOTA,Prado TX,SUV,2020,hybrid,a/t,GREEN,1,"KES 7,937,000","KES 6,868,000",12 percent,"KSh 119,000",133000,BANK TRANSFER,PAID,Delivered,3.5 out of 5,39,Returned,"KSh7,103,560"
CAR1028,"Jan 06, 2026",46055,Kevin Nyambura,corporate,121,nyanza,kisumu,Ksm,Kisumu branch,mercy atieno,WhatsApp,Subaru,Imprezza,Sedan,2020,gasoline,MANUAL,Bla,1,1871000,"1,538,000",50%,25000,52000,Asset Finance,Paid,completed,5.0 out of 5,3,Returned,"KSh480,250"
ORD1029,27-May-26,06-Jun-26,NULL,county govt,50,Western,KAKAMEGA,Kakamega,KAKAMEGA YARD,Brian Otieno,Website,Honda,FIT,HATCHBACK,2020,petrol,Automatic,Blu,7,1242000,1010000,,155000,"KSh 210,000",Cash,Partially Paid,Delivered,3.7 out of 5,44,Returned,8588180
ORD1030,12/01/2026,46064,Linda Wafula,National Govt,36,Coast,Mombasa,Mombasa,Mombasa Port Yard,Brian Otieno,web,Subaru,Outback,Wagon,2020,Petrol,Automatic,Silver,1,3931000,#VALUE!,12%,0.05M,error,M Pesa,Completed,Cancelled,4,10,Not Returned,"KSh3,512,280"
LCL1031,26-Jan-26,01/28/2026,James Kiptoo,National Govt,25,Rift Valley,Uasin Gishu,Eldoret,Eldoret Yard,Mercy,WhatsApp,Honda,Fit,Hatchback,2026,Gasoline,Automatic,Green,3,1441000,"KES 1,246,000",5,29000,36000,M Pesa,Completed,Delivered,4.3,8,Not Returned,4135850
N/A,10/07/2025,45852,Kevin Chebet,Individual,43,Coast,Mombasa,Mombasa,Mombasa Port Yard,SAMUEL MUTUA,WHATSAPP,Mazda,Axela,Sedan,2023,Diesel,Automatic,Silver,1,"KSh1,917,000",1735000,3%,35000,77000,Asset Financing,Cancelled,Cancelled,,19,Not Returned,"1,894,490"
ORD1033,46104,46128,Mercy Chebet,Ngo,32,Eastern,Machakos,Athi River,Athi River Yard,Samuel Mutua,corporate tender,Mitshubishi,Canter,Truck,2024,Petrol,Automatic,Black,1,"KES 3,649,000",3229000,10%,154000,"KES 142,000",M Pesa,Completed,In Transit,5,2,Not Returned,"3,438,100"
ord1034,06/29/2025,07/25/2025,Daniel Kiptoo,Ngo,46,Nyanza,Kisumu,Kisumu,Kisumu Yard,Mary Wanjiku,Website,toyta,Land Cruiser,SUV,2019,Diesel,M/T,Grey,3,7374000,5896000,ten percent,111000,"KSh 108,000",M Pesa,Awaiting Payment,Delivered,4,22,Not Returned,"KSh 18,914,700"
CAR1035,45732,15/04/2025,Grace Kimani,Ngo,56,Eastern,Machakos,Athi River,Athi River Yard,mary wanjiku,WhatsApp,Toyota,Harrier,SUV,2020,Diesel,Automatic,Grey,3,"KSh 4,993,000",3872000,0.07,"KSh89,000",141000,M Pesa,Partially Paid,Delivered,4.6,41,Not Returned,14.02M
LCL1036,45662,45681,Faith Otieno,Individual,53,Central,Kiambu,Thika,Thika Yard,Aisha Mohamed,whatsapp,nissan,XTrail,SUV,2026,Petrol,Automatic,Red,1,3604000,,15 percent,"KSh 104,000",89000,cash,Awaiting Payment,Delivered,2.1,1,Not Returned,"KSh3,167,400"
ord1020,46030,15/01/2026,MERCY MUGAMBI,government,50,Nyanza,Ksm,Ksm,KISUMU YARD,Samuel  Mutua,Watsapp,SUBRU,Outback,WAGON,2020,HYBRID,automatic,Silver,1,4199000,"KSh -3,467,000",0%,"68,000",73000,M-Pesa,Partially Paid,DELIVERED,4.7 out of 5,24,Returned,"KSh 4,267,000"
ord1038,"Apr 11, 2025",45779,Kevin Kimani,National Govt,68,Western,Kakamega,Kakamega,Kakamega Yard,Mercy Atieno,Walkin,Subaru,Subaru xv,Crossover,2026,Petrol,Automatic,Pearl,-1,error,2388000,3%,"KSh 146,000","KSh 129,000",Bank transfer,Cancelled,Cancelled,2.3,40,Not Returned,0
CAR1039,05/04/2026,46147,JAMES WAFULA,Ngo,28,Central,Kiambu,Thika,Thika Yard,peter kiptoo,Insta,SUBARU,Forester,SUV,Twenty Twenty,Hybrid,A/T,Pearl,1,3586000,"2,977,000",120%,"KSh106,000","KSh 84,000",Cash,Completed,Delivered,3.3,33,,"KES -611,199"
ORD1040,45976,26/11/2025,Grace Kariuki,NGO,25,Coast,Mombasa,MOMBASA,MOMBASA YARD,Peter,Corporate Tender,Mazda,Demio,Hatchback,2015,petrol,Automatic,GREY,1,1210000,961000,10%,"KES 84,000",68000,Asset Finance,paid,transit,2.7,14,Returned,1173000
ORD1041,"Jan 07, 2025",27-Jan-25,Victor Kiptoo,Ngo,42,Rift Valley,Uasin Gishu,Eldoret,Eldoret Yard,aisha mohamed,Call,Mazda,Demio,Hatchback,2025,Petrol,Automatic,Blue,3,1.05M,"917,000",0%,"KSh 157,000","KSh122,000",Asset Financing,Partially Paid,Delivered,4.9,35,Not Returned,2965500
LC1042,11-Mar-25,,BRIAN OCHIENG,corporate,unknown,EASTERN,Machakos,Athi River,Athi River Yard,Daniel Kimani,WALKIN,totoya,Harrier,SUV,2026,diesel,Automatic,Silver,2,"4,225,000",error,7%,118000,0.13M,cash,Paid,In Transit,4.6 out of 5,5,Returned,7976499
ORD1043,18/10/2025,45974,daniel otieno,Ngo,27,Central,Kiambu,Thika,Thika Yard,Grace Njeri,Corporate Tender,mazda,CX5,SUV,2016,Diesel,Manual,Blue,1,"KSh 3,746,000",3299000,2%,"KSh31,000","KSh 59,000",Cash,Awaiting Payment,Delivered,2.1,24,Not Returned,3702080
CAR1044,15/08/2025,06/09/2025,Faith Achieng,Retail,36,Rift,NKR,nakuru,Nakuru Yard,FAITH  ACHIENG,Facebook,Mitsubishi,Pajero,SUV,2021,Diesel,Automatic,Grey,2,"4,529,000","3,848,000",2%,"KSh 50,000","KSh34,000",BANK TRANSFER,partial,Delivered,4.4,38,Returned,8926840
LC1045,#DATE!,45895,hassan maina,INDIVIDUAL,48,NAIROBI,nairobi county,nairobi,NAIROBI HQ,peter  kiptoo,Referral,toyota,Prado TX,SUV,2020,petrol,Manual,Red,1,"KSh6,760,000",5654000,0%,"KSh 70,000",86000,cheque,Paid,DONE,2.5 out of 5,29,Returned,"6,830,000"
N/A,"May 16, 2025",07/06/2025,Faith Mwangi,Ngo,35,Coast,Mombasa,Mombasa,Mombasa Port Yard,Mary Wanjiku,Corporate Tender,mazda,DEMIO,Hatchback,2018,Diesel,Automatic,Silver,4,1252000,"KSh 1,112,000",7%,"141,000","KES 131,000",Bank transfer,Completed,Delivered,,9,Not Returned,"KES 4,798,440"
ORD1047,46128,26-Apr-26,Mercy Mohamed,Individual,54,Nyanza,Kisumu,Kisumu,Kisumu Yard,Faith Achieng,Tender,Subaru,impreza,Sedan,2021,Petrol,A/T,Silver,1,"2,177,000","KSh 1,699,000",15%,"KSh 64,000","74,000",Asset Financing,Completed,In Transit,2.2,42,Not Returned,1914450
LCL1048,26/11/2025,12/05/2025,Brian Ochieng,Corporate,59,nrb,Nairobi,Nairobi,NAIROBI HQ,Mercy Atieno,Site,mazda,Atenza,Sedan,2025,PETROL,MANUAL,White,2,2142000,"1,948,000",unknown,615000,"KSh 124,000",Cash,complete,At Yard,4.4,6,Returned,"KSh 3,550,200"
CAR1049,09-Sept-25,45914,Mercy Ochieng,National Govt,59,Western,Kakamega,Kakamega,Kakamega Yard,Grace Njeri,Site,Nissan,Navara,Pickup,2017,Gasoline,Manual,Black,1,4654000,"KSh 4,089,000",5%,134000,"KSh184,000",Bankers Cheque,Refunded,Delivered,4.6,2,Not Returned,0
LC1050,06/03/2025,NULL,Daniel Kimani,Individual,40,Coast,Mombasa,Mombasa,Mombasa Port Yard,Peter K1ptoo,Facebook,Toyta,Harrier,SUV,2025,Gasoline,Manual,Black,1,"KSh 4,823,000","KSh 4,086,000",NULL,"KES 152,000",136000,Asset Financing,Completed,Delivered,2.8,23,Not Returned,"4,733,850"
CAR1051,46158,20/05/2026,Hassan Kimani,Dealer,35,Central,KIAMBU,Thika,Thika,Brian Otieno,facebook,TOYOTA,HARRIER,SUV,2016,PETROL,A/T,Silver,1,4994000,4186000,5%,70000,89000,M-Pesa,Pending,IN TRANSIT,3.6 out of 5,12,Returned,4814300
ORD1052,21/06/2025,45854,PETER KIPTOO,National Govt,23,Coast,Mombasa,Mombasa,Mombasa Port Yard,Mary  Wanjiku,insta,HONDA,Vezel,Crossover,2021,Hybrid,Automatic,Green,1,missing,2.22M,0.1,0.04M,"KES 37,000",Bankers Cheque,Completed,Delivered,2.6,22,Not Returned,2559500
ORD1053,"Feb 06, 2026",not sure,James Muthoni,individual,64,Eastern,machakos,ATHI RIVER,Athi River Yard,Aisha Mohamed,WALK-IN,Mitsubishi,CANTER,Truck,2023,Petrol,Manual,white,,not available,3.06M,0.12,"KSh 71,000",-101000,bank transfer,PAID,Delivered,5 out of 5,34,Returned,9.23M
LCL1054,11/12/2025,46014,Joseph Mugambi,Ngo,57,Nyanza,Kisumu,Kisumu,Kisumu Yard,Mercy Atieno,WALK-IN,V.W,Tiguan,SUV,2019,Petrol,Automatic,White,1,"KSh 4,093,000","3,477,000",12%,"138,000","KSh104,000",M Pesa,Cancelled,Cancelled,2.1,34,Not Returned,0
CAR1055,15-Aug-25,"Aug 27, 2025",Winnie Wanjiku,Car Dealer,57,Coast,Mombasa,Mombasa,Mombasa Port Yard,Peter Kiptoo,Instagram,subaru,Forester,SUV,2021,PMS,Automatic,Grey,1,3889000,"KSh 3,176,000",15,143000,"KSh 139,000",Bankers Cheque,Completed,Delivered,3.3,,,3448650
LCL1056,25/01/2025,06/02/2025,Daniel Achieng,Retail,63,western,Kakamega,Kakamega,Kakamega Yard,Faith Achieng,WhatsApp,honda,fit,Hatchback,2026,Petrol,MT,silver,1,1337000,"KSh 1,123,000",ten percent,"KSh 36,000",78000,CHEQUE,Pending,Delivered,2.5,23,Returned,"KSh 1,332,890"
CAR1057,45699,"Feb 13, 2025",Daniel Achieng,Car Dealer,44,Western,Kakamega,Kakamega,Kakamega Yard,Faith Achieng,IG,HONDA,Fit,Hatchback,2023,Petrol,Manual,Red,0,1424000,"KSh 1,219,000",0%,149000,171000,cash,Completed,Delivered,4.7,18,Not Returned,"KSh5,845,000"
CAR1058,23/12/2025,14/01/2026,Joseph Wanjiku,Individual,55,Nyanza,Kisumu,Kisumu,Kisumu Yard,mercy  atieno,Corporate Tender,isuzu,D-Max,Pickup,2026,Hybrid,Automatic,Black,1,"KSh4,220,000",3756000,2%,"KSh105,000","KSh124,000",cash,Completed,Delayed,4.2,37,Not Returned,"KES 4,240,600"
LCL1059,45660,45681,Peter Kimani,Ngo,53,Western,Kakamega,Kakamega,Kakamega Yard,daniel kimani,WhatsApp,Mazada,demio,Hatchback,2017,Diesel,Automatic,White,3,"KSh 1,200,000","KSh 921,000",3 percent,90000,"153,000",Asset Financing,Partially Paid,Delivered,5,32,Not Returned,3582000
ORD1060,not sure,46198,Mary Mwangi,Car Dealer,33,Eastern,Machakos,Athi River,Athi River Yard,Faith Achieng,Corporate Tender,nissan,XTrail,SUV,2022,Petrol,Automatic,White,2,"KSh 3,524,000","KSh 3,117,000",Disc,32000,"KSh 62,000",Bank transfer,Completed,Delayed,3.5,24,Not Returned,7080000
LCL-1061,03/15/2025,45750,James Kiptoo,County govt,55,Eastern,Machakos,Athi River,Athi River Yard,Peter  Kiptoo,instagram,Mercedes-Benz,gle,SUV,null,PMS,Manual,Silver,1,"KSh 11,837,000",10733000,0%,"KES 41,000","60,000",M Pesa,Awaiting Payment,At the Yard,2.6,6,Not Returned,"KES 11,878,000"
ord1062,02/27/2025,25/03/2025,N/A,Car Dealer,32,Eastern,Machakos,Athi River,Athi River Yard,faith,phonecall,VOLKS WAGEN,Golf,Hatchback,2016,Diesel,M/T,Black,1,"KSh1,944,000",0.0M,15%,104000,143000,Cash,Completed,Delivered,4.1,14,Not Returned,"1,932,040"
ord1063,01/03/2025,45742,Naomi Ochieng,Individual,56,Eastern,Machakos,Athi River,Athi River Yard,Samuel Mutua,phone,mitsubishi,PAJERO,SUV,2025,Petrol,Automatic,Green,1,"KSh 5,509,000","KSh4,827,000",3 percent,"KSh 172,000",169000,mpesa,complete,delivered,4.3,21,Returned,6.07M
LCL1064,17/08/2025,26/08/2025,Naomi Mwangi,government,40,Rift-Valley,Nakuru,nakuru,Nakuru Yard,Grace,Facebook,Toyota,harrier,SUV,2018,Diesel,automatic,Blue,1,4536000,"3,584,000",7%,23000,"50,000",M-Pesa,Completed,DELIVERED,4.7 out of 5,29,Returned,4241480
LCL-1065,15-Feb-26,46079,Daniel Achieng,Car Dealer,56,Nyanza,Kisumu,Kisumu,Kisumu Yard,DANIEL  KIMANI,corporate tender,Honda Motors,CRV,SUV,2023,Petrol,Automatic,Pearl,4,"4,227,000","KES 3,650,000",0.12,35000,"KSh23,000",M Pesa,Cancelled,Cancelled,4.8,34,Not Returned,KSh 0
ord1066,04-Mar-26,46089,faith achieng,National Govt,23,Western,Kakamega,Kakamega,Kakamega Yard,Daniel Kimani,Phone Call,Toyota,Fielder,Wagon,2026,Diesel,Manual,White,1,"KSh 1,965,000",1712000,0%,"KES 121,000",0.12M,Asset Financing,Awaiting Payment,Delivered,3.5,42,Not Returned,"KSh2,086,000"
LC1067,45658,31/01/2025,Daniel Kimani,Individual,29,Central,Kiambu,Thika,Thika Yard,Mercy  Atieno,WALK-IN,Toyota,Corolla ,Sedan,2020,Gasoline,Automatic,Silver,1,"KES 1,890,000",1523000,5%,error,0.14M,Bank transfer,Awaiting Payment,Delayed,4.7,8,Not Returned,"1,916,500"
ord1068,07/11/2025,11/11/2025,Mary Maina,County govt,31,Rift Valley,Uasin Gishu,Eldoret,Eldoret Yard,AISHA  MOHAMED,FACEBOOK,Nissan,Juke,Crossover,2018,Diesel,Automatic,Pearl,1,"1,837,000",1619000,7%,"KSh 40,000",0,CASH,Completed,Delivered,2.4,39,Not Returned,"KSh 1,748,410"
ORD1069,21-Feb-26,46087,Winnie Mohamed,car dealer,28,Western,Kakamega,kakamega,KAKAMEGA YARD,KEVIN MWANGI,Facebook,SUBARU,Outback,wagon,2019,diesel,AUTOMATIC,Red,2,"KSh 4,059,000","KSh 3,300,000",12%,33000,"83,000",asset financing,complete,delayed,4.8 out of 5,23,Returned,"KSh 7,176,840"
CAR1070,45849,"Jul 23, 2025",Aisha Mugambi,National Govt,23,Rift Valley,Uasin Gishu,Eldoret,Eldoret Yard,Daniel Kimani,IG,Volkswagen,Golf,Hatchback,2021,Petrol,Automatic,Blue,4,1970000,missing,0.12,"KES 80,000","KSh 111,000",Bankers Cheque,Completed,Delivered,4.7,9,Not Returned,"KES 7,014,400"
LCL1071,45842,2026-13-04,MERCY ACHIENG,Individual,22,Nyanza,Kisumu,Kisumu,Kisumu Yard,Daniel,website,toyota,Harrier,SUV,2018,Petrol,Automatic,Grey,two,"KSh 4,665,000",3928000,-10,"KSh74,000","102,000",Asset Financing,Cancelled,Cancelled,1,29,Not Returned,"KES -5,205,500"
ORD1072,08/07/2025,11-Jul-25,Hassan Omondi,Corporate,35,Rift Valley,Nakuru,NKR,Nakuru Yard,grace njeri,Facebook,SUBARU,Forester,SUV,2018,Hybrid,Automatic,WHITE,1,"KSh 3,760,000",3012000,2%,"KSh 132,000",-,BANK,PENDING,IN TRANSIT,4.7/5,,Returned,"KSh 3,816,800"
LC1073,45949,08/11/2025,Joy Kariuki,GOVERNMENT,47,Central,KIAMBU,thikka,Thika yard,Brian Otieno,IG,Mazda,CX-5,suv,2025,Petrol,at,White,2,"KSh 3,667,000",#VALUE!,0.12,109000,155000,ASSET FINANCE,partial,completed,2.6,4,Returned,"KSh 6,562,920"
LCL1074,"Aug 10, 2025",45883,AISHA CHEBET,Car Dealer,63,Western,Kakamega,Kakamega,Kakamega Yard,mary wanj1ku,FACEBOOK,Mitsubishi,Pajero,SUV,2018,Hybrid,Automatic,Blue,2,"KSh 4,801,000",3814000,5%,16000,"KSh42,000",Bankers Cheque,Completed,Delivered,3.9,35,Not Returned,"KES 9,137,900"
LCL1075,46014,46035,SAMUEL NJERI,Car Dealer,49,Western,Kakamega,Kakamega,Kakamega Yard,Mercy Atieno,INSTAGRAM,B.M.W,CX5,SUV,2023,Diesel,Manual,Pearl,1,"KES 9,573,000","KSh 7,362,000",2 percent,155000,230000,Bankers Cheque,Completed,At the Yard,3.3,26,Not Returned,19073080
CAR1076,11/30/2025,46016,Samuel Kimani,Car Dealer,25,Nyanza,Kisumu,Kisumu,Kisumu Yard,daniel kimani,Facebook,subaru,Subaru xv,Crossover,2019,Petrol,Automatic,Red,1,"KSh 2,283,000",1841000,Disc,136000,204000,Bank transfer,Completed,At the Yard,4.4,26,Not Returned,4381400
LCL-1077,11/25/2025,46006,James Otieno,Car Dealer,38,Central,Kiambu,Thika,Thika Yard,aisha mohamed,REFERRAL,TOYOTA,Corolla ,,N/A,Gasoline,Automatic,,NULL,"KSh 1,778,000","KES 1,447,000",0%,"22,000",,Asset Financing,Completed,Cancelled,4.8,10,Not Returned,5.36M
ORD1078,11/03/2026,April 31 2026,Naomi Chebet,National Govt,58,Western,Kakamega,Kakamega,Kakamega Yard,Mercy Atieno,Referral,MERCEDES-BENZ,C200,Sedan,2021,Petrol,Automatic,Blue,1,4549000,"KES 4,065,000",10%,"KSh 121,000",,M Pesa,Partially Paid,Delayed,4.6,10,Not Returned,"KSh 4,215,100"
ORD1079,23/07/2025,45862,John Muthoni,Government,46,Rift Valley,Nkr,nakuru,Nakuru Yard,Kevin  Mwangi,Tender,BMW,320i,saloon,2019,hybrid,AUTOMATIC,Green,1,4301000,"KSh 3,311,000",7,"KES 86,000",0.12M,ASSET FINANCE,PAID,COMPLETED,4.0 out of 5,29,Returned,4085929
