record_id,student_id,student_full_name,gender,date_of_birth,admission_date,grade_level,class_stream,school_id,school_name,school_type,school_subcounty,school_county,school_region,school_country,student_subcounty,student_county,student_region,student_country,teacher_id,teacher_name,teacher_gender,teacher_subject_specialty,teacher_subcounty,teacher_county,teacher_region,teacher_country,subject_id,subject_name,term,academic_year,assessment_type,score,attendance_rate_pct,fee_balance_kes,scholarship_status,learning_mode,student_age corrected
EDU-0069,STU-1069,Trixie Nyambura Maalim,F,"Wednesday, 29 June 2011","Wednesday, 26 October 2022",8,Grade 9A,SCH009,Eldoret Valley Academy,Private,Eldoret East,Uasin Gishu,Rift Valley,Kenya,Westlands,Nairobi,Nairobi,Kenya,T003,esther naliaka,F,Kiswahili,Kisumu East,Kisumu,Nyanza,Kenya,SUB003,Kiswahili,Term 1,FY2026,Cat 2,30,0.8,1200,No,Day,11
EDU-0070,STU-1070,Moureen Ochieng Wekesa,F,"Friday, 21 January 2011","Sunday, 17 March 2024",8,Grade 7A,SCH010,Lurambi Green School,Public,Lurambi,Kakamega,Western,Kenya,Thika Town,Kiambu,Central,Kenya,T004,peter mwangi,M,Biology,Thika Town,Kiambu,Central,Kenya,SUB004,Biology,Term 1,FY2026,Project,63,0.84,1200,No,Hybrid,13
EDU-0071,STU-1071,David Njoroge Bwire,F,"Wednesday, 4 June 2014","Tuesday, 6 June 2023",7,Grade 8A,SCH011,Athi River Stem School,Private,Athi River,Machakos,Eastern,Kenya,Kisumu East,Kisumu,Nyanza,Kenya,T005,fatuma ali,F,Comp/Studies,Mvita,Mombasa,Coast,Kenya,SUB005,Comp/Studies,Term 1,FY2026,Project,72,0.69,2500,No,Boarding,9
EDU-0072,STU-1072,Winnie Njoki Achieng,F,"Friday, 19 December 2014","Monday, 10 April 2023",8,Grade 7B,SCH012,Naivasha Bright School,Public,Naivasha,Nakuru,Rift Valley,Kenya,Athi River,Machakos,Eastern,Kenya,T006,daniel otieno,M,B/Studies,Eldoret East,Uasin Gishu,Rift Valley,Kenya,SUB006,B/Studies,Term 1,FY2026,Cat 1,26,0.91,15000,No,Hybrid,8
EDU-0074,STU-1074,Peter Odhiambo Kariuki,F,"Thursday, 16 September 2010","Monday, 6 March 2023",9,Grade 7B,SCH002,Ambakasi Hope Junior,Public,Embakasi East,Nairobi,Nairobi,Kenya,Thika Town,Kiambu,Central,Kenya,T002,BRIAN KIPTOO,M,English,Ruiru,Kiambu,Central,Kenya,SUB002,English,Term 1,FY2026,Cat 1,106,0.66,1200,No,Boarding,12
EDU-0078,STU-1078,Ruth Naliaka Awino,F,"Monday, 21 October 2013","Saturday, 28 May 2022",9,Grade 7A,SCH006,Mvita Coast School,Public,Mvita,Mombasa,Coast,Kenya,Mvita,Mombasa,Coast,Kenya,T006,daniel otieno,M,B/Studies,Eldoret East,Uasin Gishu,Rift Valley,Kenya,SUB006,B/Studies,Term 1,FY2026,Project,47,0.57,5000,No,Day,9
EDU-0080,STU-1080,Kevin Kiptoo Kimutai,F,"Thursday, 3 September 2015","Monday, 28 November 2022",8,Grade 9A,SCH008,Kisumu Lakeview School,Public,Kisumu East,Kisumu,Nyanza,Kenya,Naivasha,Nakuru,Rift Valley,Kenya,T002,BRIAN KIPTOO,M,English,Ruiru,Kiambu,Central,Kenya,SUB002,English,Term 1,FY2026,End Term,49,0.83,5000,No,Boarding,7
EDU-0082,STU-1082,Kevin Wekesa Mogere,F,"Monday, 30 June 2014","Wednesday, 15 June 2022",9,Grade 9B,SCH010,Lurambi Green School,Public,Lurambi,Kakamega,Western,Kenya,Mvita,Mombasa,Coast,Kenya,T004,peter mwangi,M,Biology,Thika Town,Kiambu,Central,Kenya,SUB004,Biology,Term 1,FY2026,Mid Term,4,0.62,5000,No,Day,8
EDU-0086,STU-1086,Janet Mburu Kituku,F,"Sunday, 28 November 2010","Thursday, 15 June 2023",7,Grade 8A,SCH002,Ambakasi Hope Junior,Public,Embakasi East,Nairobi,Nairobi,Kenya,Kisauni,Mombasa,Coast,Kenya,T002,BRIAN KIPTOO,M,English,Ruiru,Kiambu,Central,Kenya,SUB002,English,Term 1,FY2026,Mid Term,32,0.8,15000,No,Day,13
EDU-0087,STU-1087,Brian Wanjiru Wario,F,"Sunday, 1 April 2012","Saturday, 10 September 2022",9,Grade 9B,SCH003,Langata Plains School,Private,Langata,Nairobi,Nairobi,Kenya,Lurambi,Kakamega,Western,Kenya,T003,esther naliaka,F,Kiswahili,Kisumu East,Kisumu,Nyanza,Kenya,SUB003,Kiswahili,Term 1,FY2026,Mid Term,56,0.95,0,No,Boarding,10
EDU-0091,STU-1091,Susan Kilonzo Waweru,F,"Thursday, 10 June 2010","Tuesday, 19 March 2024",8,Grade 9A,SCH007,Kisauni Future School,Private,Kisauni,Mombasa,Coast,Kenya,Athi River,Machakos,Eastern,Kenya,T001,AMINA WANJIRU,F,Mathematics,Westlands,Nairobi,Nairobi,Kenya,SUB001,Mathematics,Term 1,FY2026,Project,30,0.94,5000,No,Boarding,14
EDU-0097,STU-1097,Lians Wafula Simiyu,F,"Tuesday, 26 November 2013","Sunday, 4 June 2023",9,Grade 8B,SCH001,Garden Court Academy,Private,Westlands,Nairobi,Nairobi,Kenya,Thika Town,Nairobi,Central,Kenya,T001,AMINA WANJIRU,F,Mathematics,Westlands,Nairobi,Nairobi,Kenya,SUB001,Mathematics,Term 1,FY2026,Cat 1,43,0.85,1200,No,Hybrid,10
EDU-0098,STU-1098,Clinton Cherono Chebet,F,"Friday, 12 December 2014","Monday, 27 June 2022",9,Grade 8B,SCH002,Ambakasi Hope Junior,Public,Embakasi East,Nairobi,Nairobi,Kenya,Eldoret East,Uasin Gishu,Rift Valley,Kenya,T002,BRIAN KIPTOO,M,English,Ruiru,Kiambu,Central,Kenya,SUB002,English,Term 1,FY2026,Mid Term,26,0.69,2500,No,Day,8
EDU-0101,STU-1101,Eric Kariuki Koech,F,"Tuesday, 21 December 2010","Wednesday, 20 April 2022",8,Grade 8B,SCH005,Thika Digital Academy,Private,Thika Town,Kiambu,Central,Kenya,Mvita,Mombasa,Coast,Kenya,T005,fatuma ali,F,Comp/Studies,Mvita,Kiambu,Coast,Kenya,SUB005,Comp/Studies,Term 1,FY2026,Mid Term,53,1,1200,No,Boarding,11
EDU-0103,STU-1103,Patrick Odhiambo Musyoka,F,"Friday, 18 June 2010","Thursday, 17 November 2022",7,Grade 7A,SCH007,Kisauni Future School,Private,Kisauni,Mombasa,Coast,Kenya,Naivasha,Nakuru,Rift Valley,Kenya,T001,AMINA WANJIRU,F,Mathematics,Westlands,Nairobi,Nairobi,Kenya,SUB001,Mathematics,Term 1,FY2026,Cat 2,75,0.7,5000,No,Hybrid,12
EDU-0104,STU-1104,Christine Wanjala Njuguna,F,"Thursday, 4 August 2011","Saturday, 15 January 2022",9,Grade 7A,SCH008,Kisumu Lakeview School,Public,Kisumu East,Kisumu,Nyanza,Kenya,Langata,Nairobi,Nairobi,Kenya,T002,BRIAN KIPTOO,M,English,Ruiru,Kiambu,Central,Kenya,SUB002,English,Term 1,FY2026,Cat 2,77,0.57,7500,No,Day,10
EDU-0106,STU-1106,Stephen Langat Odhiambo,F,"Sunday, 17 June 2012","Wednesday, 14 December 2022",9,Grade 8A,SCH010,Lurambi Green School,Public,Lurambi,Kakamega,Western,Kenya,Lurambi,Kakamega,Western,Kenya,T004,peter mwangi,M,Biology,Thika Town,Kiambu,Central,Kenya,SUB004,Biology,Term 1,FY2026,Project,82,0.55,15000,No,Day,10
EDU-0107,STU-1107,Susan Auma Bett,F,"Friday, 4 July 2014","Tuesday, 30 May 2023",8,Grade 7A,SCH011,Athi River Stem School,Private,Athi River,Machakos,Eastern,Kenya,Westlands,Nairobi,Nairobi,Kenya,T005,fatuma ali,F,Comp/Studies,Mvita,Mombasa,Coast,Kenya,SUB005,Comp/Studies,Term 1,FY2026,Practical,45,0.82,2500,No,Hybrid,9
EDU-0108,STU-1108,Clinton Odhiambo Kiprono,F,"Tuesday, 30 October 2012","Thursday, 9 May 2024",9,Grade 7A,SCH012,Naivasha Bright School,Public,Naivasha,Nakuru,Rift Valley,Kenya,Ruiru,Kiambu,Central,Kenya,T006,daniel otieno,M,B/Studies,Eldoret East,Uasin Gishu,Rift Valley,Kenya,SUB006,B/Studies,Term 1,FY2026,Cat 2,41,0.7,7500,No,Boarding,12
EDU-0114,STU-1114,Brian Maina Koech,F,"Tuesday, 25 February 2014","Sunday, 27 August 2023",7,Grade 8A,SCH006,Mvita Coast School,Public,Mvita,Mombasa,Coast,Kenya,Athi River,Machakos,Eastern,Kenya,T006,daniel otieno,M,B/Studies,Eldoret East,Uasin Gishu,Rift Valley,Kenya,SUB006,B/Studies,Term 1,FY2026,Mid Term,29,0.72,15000,No,Hybrid,10
EDU-0118,STU-1118,Zainab Kilonzo Kiplimo,F,"Thursday, 19 March 2015","Monday, 17 July 2023",8,Grade 9B,SCH010,Lurambi Green School,Public,Lurambi,Kakamega,Western,Kenya,Athi River,Machakos,Eastern,Kenya,T004,peter mwangi,M,Biology,Thika Town,Kiambu,Central,Kenya,SUB004,Biology,Term 1,FY2026,Cat 1,74,0.93,15000,No,Hybrid,8
EDU-0119,STU-1119,Collins Wambui Njeri,F,"Thursday, 19 September 2013","Saturday, 7 September 2024",9,Grade 8A,SCH011,Athi River Stem School,Private,Athi River,Machakos,Eastern,Kenya,Langata,Nairobi,Nairobi,Kenya,T005,fatuma ali,F,Comp/Studies,Mvita,Mombasa,Coast,Kenya,SUB005,Comp/Studies,Term 1,FY2026,Practical,0,0.64,0,No,Boarding,11
EDU-0123,STU-1123,Isaac Kariuki Musyoka,F,"Monday, 31 May 2010","Tuesday, 20 August 2024",8,Grade 7A,SCH003,Langata Plains School,Private,Langata,Nairobi,Nairobi,Kenya,Langata,Nairobi,Nairobi,Kenya,T003,esther naliaka,F,Kiswahili,Kisumu East,Kisumu,Nyanza,Kenya,SUB003,Kiswahili,Term 1,FY2026,Project,4,0.59,15000,No,Hybrid,14
EDU-0124,STU-1124,Zainab Mbugua Kipsang,F,"Thursday, 19 March 2015","Friday, 19 April 2024",9,Grade 9B,SCH004,Ruiru Sunrise School,Public,Ruiru,Kiambu,Central,Kenya,Mvita,Mombasa,Coast,Kenya,T004,peter mwangi,M,Biology,Thika Town,Kiambu,Central,Kenya,SUB004,Biology,Term 1,FY2026,Cat 1,23,0.8,0,No,Boarding,9
EDU-0125,STU-1125,Mercy Wairimu Chege,F,"Monday, 28 May 2012","Sunday, 4 February 2024",8,Grade 8B,SCH005,Thika Digital Academy,Private,Thika Town,Kiambu,Central,Kenya,Eldoret East,Uasin Gishu,Rift Valley,Kenya,T005,fatuma ali,F,Comp/Studies,Mvita,Mombasa,Coast,Kenya,SUB005,Comp/Studies,Term 1,FY2026,Cat 1,95,0.86,1200,No,Boarding,12
EDU-0127,STU-1127,Doreen Ochieng Ali,F,"Saturday, 14 April 2012","Wednesday, 16 August 2023",9,Grade 9B,SCH007,Kisauni Future School,Private,Kisauni,Mombasa,Coast,Kenya,Ruiru,Kiambu,Central,Kenya,T001,AMINA WANJIRU,F,Mathematics,Westlands,Nairobi,Nairobi,Kenya,SUB001,Mathematics,Term 1,FY2026,Cat 1,23,0.64,15000,No,Boarding,11
EDU-0128,STU-1128,Moureen Adhiambo Chebet,F,"Saturday, 16 July 2011","Tuesday, 30 April 2024",8,Grade 8A,SCH008,Kisumu Lakeview School,Public,Kisumu East,Kisumu,Nyanza,Kenya,Kisauni,Mombasa,Coast,Kenya,T002,BRIAN KIPTOO,M,English,Ruiru,Kiambu,Central,Kenya,SUB002,English,Term 1,FY2026,Project,89,0.85,5000,No,Boarding,13
EDU-0132,STU-1132,Daisy Njoroge Musyoka,F,"Thursday, 8 April 2010","Monday, 12 August 2024",7,Grade 7B,SCH012,Naivasha Bright School,Public,Naivasha,Nakuru,Rift Valley,Kenya,Kisauni,Mombasa,Coast,Kenya,T006,daniel otieno,M,B/Studies,Eldoret East,Uasin Gishu,Rift Valley,Kenya,SUB006,B/Studies,Term 1,FY2026,Cat 1,45,0.71,0,No,Day,14
EDU-0133,STU-1133,Gladys Koech Musyoka,F,"Tuesday, 20 May 2014","Sunday, 24 July 2022",8,Grade 7A,SCH001,Garden Court Academy,Private,Westlands,Nairobi,Nairobi,Kenya,Athi River,Machakos,Eastern,Kenya,T001,AMINA WANJIRU,F,Mathematics,Westlands,Nairobi,Nairobi,Kenya,SUB001,Mathematics,Term 1,FY2026,Cat 2,55,0.93,1200,No,Hybrid,8
EDU-0138,STU-1138,Rose Odhiambo Kipsang,F,"Wednesday, 18 April 2012","Sunday, 24 September 2023",9,Grade 8A,SCH006,Mvita Coast School,Public,Mvita,Mombasa,Coast,Kenya,Embakasi East,Nairobi,Nairobi,Kenya,T006,daniel otieno,M,B/Studies,Eldoret East,Uasin Gishu,Rift Valley,Kenya,SUB006,B/Studies,Term 1,FY2026,Practical,45,0.8,15000,No,Boarding,11
EDU-0142,STU-1142,Moureen Atieno Kamau,F,"Wednesday, 13 March 2013","Tuesday, 6 June 2023",7,Grade 9A,SCH010,Lurambi Green School,Public,Lurambi,Kakamega,Western,Kenya,Langata,Nairobi,Nairobi,Kenya,T004,peter mwangi,M,Biology,Thika Town,Kiambu,Central,Kenya,SUB004,Biology,Term 1,FY2026,End Term,68,0.66,15000,No,Hybrid,10
EDU-0145,STU-1145,John Langat Duale,F,"Monday, 25 October 2010","Monday, 10 October 2022",8,Grade 8B,SCH001,Garden Court Academy,Private,Westlands,Nairobi,Nairobi,Kenya,Naivasha,Nakuru,Rift Valley,Kenya,T001,AMINA WANJIRU,F,Mathematics,Westlands,Nairobi,Nairobi,Kenya,SUB001,Mathematics,Term 1,FY2026,Cat 1,56,1,0,No,Day,12
EDU-0147,STU-1147,George Maina Kilonzo,F,"Thursday, 16 September 2010","Sunday, 10 March 2024",8,Grade 9B,SCH003,Langata Plains School,Private,Langata,Nairobi,Nairobi,Kenya,Kisauni,Mombasa,Coast,Kenya,T003,esther naliaka,F,Kiswahili,Kisumu East,Kisumu,Nyanza,Kenya,SUB003,Kiswahili,Term 1,FY2026,Cat 1,83,0.62,1200,No,Hybrid,13
EDU-0149,STU-1149,Nelly Nyanchama Were,F,"Friday, 18 March 2011","Saturday, 30 March 2024",7,Grade 7B,SCH005,Thika Digital Academy,Private,Thika Town,Kiambu,Central,Kenya,Westlands,Nairobi,Nairobi,Kenya,T005,fatuma ali,F,Comp/Studies,Mvita,Mombasa,Coast,Kenya,SUB005,Comp/Studies,Term 1,FY2026,Practical,46,0.63,1200,No,Boarding,13
EDU-0159,STU-1159,Irene Rotich Mwangi,F,"Monday, 18 March 2013","Friday, 12 April 2024",9,Grade 7B,SCH003,Langata Plains School,Private,Langata,Nairobi,Nairobi,Kenya,Kisumu East,Kisumu,Nyanza,Kenya,T003,esther naliaka,F,Kiswahili,Kisumu East,Kisumu,Nyanza,Kenya,SUB003,Kiswahili,Term 1,FY2026,Cat 1,82,0.89,7500,No,Day,11
EDU-0162,STU-1162,Grace Kiptoo Koech,F,"Thursday, 6 March 2014","Friday, 19 July 2024",9,Grade 7B,SCH006,Mvita Coast School,Public,Mvita,Mombasa,Coast,Kenya,Mvita,Mombasa,Coast,Kenya,T006,daniel otieno,M,B/Studies,Eldoret East,Uasin Gishu,Rift Valley,Kenya,SUB006,B/Studies,Term 1,FY2026,Mid Term,97,0.78,0,No,Day,10
EDU-0172,STU-1172,Oscar Rotich Were,F,"Sunday, 6 September 2015","Monday, 16 May 2022",8,Grade 9A,SCH004,Ruiru Sunrise School,Public,Ruiru,Kiambu,Central,Kenya,Westlands,Nairobi,Nairobi,Kenya,T004,peter mwangi,M,Biology,Thika Town,Kiambu,Central,Kenya,SUB004,Biology,Term 1,FY2026,Mid Term,89,0.8,2500,No,Day,7
EDU-0173,STU-1173,Janet Rotich Kimutai,F,"Monday, 24 August 2015","Friday, 24 March 2023",7,Grade 8A,SCH005,Thika Digital Academy,Private,Thika Town,Kiambu,Central,Kenya,Ruiru,Kiambu,Central,Kenya,T005,fatuma ali,F,Comp/Studies,Mvita,Mombasa,Coast,Kenya,SUB005,Comp/Studies,Term 1,FY2026,End Term,53,0.78,1200,No,Boarding,8
EDU-0179,STU-1179,Ezra Adhiambo Mburu,F,"Wednesday, 24 April 2013","Thursday, 7 September 2023",7,Grade 8A,SCH011,Athi River Stem School,Private,Athi River,Machakos,Eastern,Kenya,Athi River,Machakos,Eastern,Kenya,T005,fatuma ali,F,Comp/Studies,Mvita,Mombasa,Coast,Kenya,SUB005,Comp/Studies,Term 1,FY2026,Cat 1,75,0.66,10000,No,Boarding,10
EDU-0180,STU-1180,Doreen Chebet Macharia,F,"Wednesday, 2 May 2012","Wednesday, 9 March 2022",9,Grade 9B,SCH012,Naivasha Bright School,Public,Naivasha,Nakuru,Rift Valley,Kenya,Embakasi East,Nairobi,Nairobi,Kenya,T006,daniel otieno,M,B/Studies,Eldoret East,Uasin Gishu,Rift Valley,Kenya,SUB006,B/Studies,Term 1,FY2026,End Term,54,0.86,10000,No,Boarding,10
EDU-0184,STU-1184,Grace Atieno Onyango,F,"Tuesday, 14 September 2010","Friday, 11 November 2022",9,Grade 9B,SCH004,Ruiru Sunrise School,Public,Ruiru,Kiambu,Central,Kenya,Langata,Nairobi,Nairobi,Kenya,T004,peter mwangi,M,Biology,Thika Town,Kiambu,Central,Kenya,SUB004,Biology,Term 1,FY2026,End Term,75,0.8,5000,No,Day,12
EDU-0190,STU-1190,Joseph Mwikali Chege,F,"Friday, 28 May 2010","Saturday, 3 August 2024",7,Grade 8A,SCH010,Lurambi Green School,Public,Lurambi,Kakamega,Western,Kenya,Lurambi,Kakamega,Western,Kenya,T004,peter mwangi,M,Biology,Thika Town,Kiambu,Central,Kenya,SUB004,Biology,Term 1,FY2026,Mid Term,84,0.9,15000,No,Hybrid,14
