Customer Name,Customer Type,Customer Age,Region,County,City,Branch,Sales Rep,Lead Source,Car Make,Car Model,Vehicle Type,Vehicle Year,Fuel Type,Transmission,Color,Units Sold,Unit Selling Price,Unit Cost,Discount %,Delivery Fee,Logistics Cost,Payment Method,Payment Status,Delivery Status,Customer Rating,Review Count,Returned,Revenue Recorded,Order IDs,Order Date Clean,Delivery Date Clean
Mary Mohamed,Individual,,Central,Kiambu,Thika,Thika Yard,Aisha Mohamed,Phone Call,Volkswagen,Tiguan,Suv,2023,Diesel,Automatic,Green,1,"4,591,000","3,901,000",,"97,000","129,000",Bankers Cheque,Paid,Delivered,4.6,11,Not Returned,"4,596,180",ORD1216,"Sunday, 24 August 2025","Saturday, 6 September 2025"
Peter Kiptoo,Government,23,Coast,Mombasa,Mombasa,Mombasa Port Yard,Mary Wanjiku,Instagram,Honda,Vezel,Crossover,2021,Hybrid,Automatic,Green,1,,"2,220,000",0,"40,000","37,000",Bankers Cheque,Paid,Delivered,2.6,22,Not Returned,"2,559,500",ORD1052,"Saturday, 21 June 2025","Wednesday, 16 July 2025"
John Kariuki,Government,23,Central,Kiambu,Thika,Thika Yard,Brian Otieno,Phone Call,Subaru,Outback,Wagon,2020,Hybrid,Automatic,Grey,1,"4,175,000","3,574,000",0,"109,000",,M-Pesa,Partial,Delayed,4.7,13,Not Returned,"3,866,500",ORD1182,"Wednesday, 1 April 2026","Sunday, 18 January 2026"
Grace Kariuki,Ngo,25,Coast,Mombasa,Mombasa,Mombasa Port Yard,Peter Kiptoo,Corporate Tender,Mazda,Demio,Hatchback,2015,Petrol,Automatic,Grey,1,"1,210,000","961,000",0,"84,000","68,000",Asset Financing,Paid,In Transit,2.7,14,Returned,"1,173,000",ORD1040,"Saturday, 15 November 2025","Wednesday, 26 November 2025"
Aisha Mugambi,Individual,25,Rift Valley,Uasin Gishu,Eldoret,Eldoret Yard,Mary Wanjiku,Whatsapp,Honda,Fit,Hatchback,2023,Petrol,Automatic,Silver,1,"1,343,000","1,126,000",0,"64,000","61,000",Wire Transfer,Deposit Paid,Delivered,2.3,31,Not Returned,"1,366,710",LCL1186,"Friday, 5 June 2026","Monday, 25 May 2026"
Samuel Kimani,Car Dealer,25,Nyanza Region,Kisumu,Kisumu,Kisumu Yard,Daniel Kimani,Facebook,Subaru,Subaru,Crossover,2019,Petrol,Automatic,Red,1,"2,283,000","1,841,000",,"136,000","204,000",Bank Transfer,Paid,At The Yard,4.4,26,Not Returned,"4,381,400",CAR1076,"Sunday, 30 November 2025","Thursday, 25 December 2025"
James Muthoni,Ngo,25,Nairobi,Nairobi,Nairobi,Nairobi Yard,Faith Achieng,Corporate Tender,Mitsubishi,Canter,Truck,2026,Petrol,Automatic,Green,1,"3,779,000","3,125,000",0,,"94,000",M-Pesa,Cancelled,Cancelled,4.7,35,Not Returned,0,LCL1222,"Thursday, 5 March 2026","Monday, 25 May 2026"
Kevin Otieno,Government,26,Nairobi,Nairobi,Nairobi,Nairobi Yard,Faith Achieng,Corporate Tender,Mercedes,C200,Sedan,2021,Diesel,Automatic,White,1,"5,620,000","4,789,000",0,"32,000",,M-Pesa,Cancelled,In Transit,3.7,10,Not Returned,0,ORD1187,"Thursday, 9 January 2025","Thursday, 11 September 2025"
Mary Mugambi,Corporate,27,Western,Kakamega,Kakamega,Kakamega Yard,Faith Achieng,Facebook,Nissan,Juke,Crossover,2023,Diesel,Automatic,White,1,"1,861,000","1,483,000",0,"140,000","166,000",M-Pesa,Paid,In Transit,4.9,11,Not Returned,"1,945,170",ORD1132,"Tuesday, 29 July 2025","Saturday, 28 February 2026"
Kevin Wanjiku,Ngo,27,Nyanza Region,Kisumu,Kisumu,Kisumu Yard,Brian Otieno,Website,Toyota,Fielder,Wagon,2015,Petrol,Automatic,Black,1,"1,880,000","1,675,000",0,"15,000","14,000",Cash,Cancelled,Delivered,4.3,39,Returned,0,LCL1232,"Thursday, 28 August 2025","Tuesday, 23 September 2025"
Carol Wanjiku,Car Dealer,28,Rift Valley,Nakuru,Nakuru,Nakuru Yard,Brian Otieno,Phone Call,Subaru,Outback,Wagon,2017,Diesel,Automatic,Grey,1,"3,369,000",0,0,"141,000","204,000",Bankers Cheque,Paid,Delivered,2.5,20,Not Returned,"3,004,650",ORD1097,"Sunday, 11 January 2026","Monday, 16 March 2026"
John Nyambura,Corporate,29,Central,Kiambu,Thika,Thika Yard,Brian Otieno,Instagram,Bmw,Bmw X5,Suv,1899,Diesel,Automatic,Blue,1,"10,434,000","8,082,000",0,"150,000","178,000",Cash,Pending,Delivered,4.8,26,Not Returned,"9,853,620",ORD1141,"Thursday, 27 February 2025","Tuesday, 18 March 2025"
Daniel Kimani,Individual,29,Central,Kiambu,Thika,Thika Yard,Mercy Atieno,Walk In,Toyota,Corolla,Sedan,2020,Gasoline,Automatic,Silver,1,"1,890,000","1,523,000",0,,"140,000",Bank Transfer,Pending,Delayed,4.7,8,Not Returned,"1,916,500",LC1067,"Wednesday, 1 January 2025","Friday, 31 January 2025"
Brian Achieng,Ngo,29,Rift Valley,Nakuru,Nakuru,Nakuru Yard,Peter Kiptoo,Referral,Toyota,Corolla,Sedan,2026,Petrol,Automatic,Green,1,"2,059,000","1,595,000",0,"68,000","54,000",Bank Transfer,Paid,In Transit,3.9,41,Not Returned,,LCL1135,"Sunday, 23 February 2025","Thursday, 6 March 2025"
James Njeri,Corporate,29,Rift Valley,Nakuru,Nakuru,Nakuru Yard,Mercy Atieno,Corporate Tender,Nissan,Juke,Crossover,2025,Petrol,Automatic,Grey,1,"2,114,000",,1,"169,000","107,000",Cash,Paid,Delivered,3,33,Returned,"1,226,000",LC1268,"Friday, 13 June 2025","Thursday, 19 June 2025"
Unknown,Corporate,31,Coast,Mombasa,Mombasa,Mombasa Port Yard,Grace Njeri,Website,Honda,Fit,Hatchback,2022,Hybrid,Automatic,White,1,"1,470,000",,,"106,000","170,000",Asset Financing,Paid,Delivered,4,44,Returned,"1,546,600",ORD1246,"Friday, 30 May 2025","Thursday, 6 February 2025"
Mary Maina,County Government,31,Rift Valley,Uasin Gishu,Eldoret,Eldoret Yard,Aisha Mohamed,Facebook,Nissan,Juke,Crossover,2018,Diesel,Automatic,Pearl,1,"1,837,000","1,619,000",0,"40,000",0,Cash,Paid,Delivered,2.4,39,Not Returned,"1,748,410",ORD1068,"Friday, 11 July 2025","Tuesday, 11 November 2025"
Aisha Mutua,Ngo,31,Western,Kakamega,Kakamega,Kakamega Yard,Mary Wanjiku,Website,Toyota,Prado Tx,Suv,,Petrol,Automatic,Black,1,"7,231,000","6,304,000",0,"115,000","122,000",M-Pesa,Paid,Delivered,3,41,Not Returned,"7,129,070",ORD1096,"Sunday, 21 September 2025","Tuesday, 10 June 2025"
Mercy Chebet,Ngo,32,Eastern,Machakos,Athi River,Athi River Yard,Samuel Mutua,Corporate Tender,Mitsubishi,Canter,Truck,2024,Petrol,Automatic,Black,1,"3,649,000","3,229,000",0,"154,000","142,000",M-Pesa,Completed,In Transit,5,2,Not Returned,"3,438,100",ORD1033,"Monday, 23 March 2026","Thursday, 16 April 2026"
Mary Omondi,Car Dealer,32,Nyanza Region,Kisumu,Kisumu,Kisumu Yard,Kevin Mwangi,Corporate Tender,Isuzu,N-Series,Truck,2021,Diesel,Automatic,Grey,1,"5,385,000","4,889,000",5,"84,000","100,000",Cash,Paid,At The Yard,4.1,37,Not Returned,"5,199,750",LCL1139,"Sunday, 26 October 2025",
Samuel Mugambi,Ngo,34,Coast,Mombasa,Mombasa,Mombasa Port Yard,Mary Wanjiku,Referral,Mitsubishi,Outlander,Suv,2024,Diesel,Automatic,Pearl,1,"3,750,000","2,880,000",3,"131,000","160,000",Asset Financing,Partial,At The Yard,4.6,5,Returned,,CAR1267,"Tuesday, 1 September 2026","Thursday, 29 January 2026"
Hassan Omondi,Corporate,35,Rift Valley,Nakuru,Nakuru,Nakuru Yard,Grace Njeri,Facebook,Subaru,Forester,Suv,2018,Hybrid,Automatic,White,1,"3,760,000","3,012,000",0,"132,000",,Bank Transfer,Pending,In Transit,4.7,,Returned,"3,816,800",ORD1072,"Thursday, 7 August 2025","Friday, 11 July 2025"
Daniel Mwangi,Ngo,36,Coast,Mombasa,Mombasa,Mombasa Port Yard,Brian Otieno,Phone Call,Toyota,Fielder,Wagon,2016,Hybrid,Automatic,Red,1,"1,730,000","1,335,000",0,"56,000",,M-Pesa,Pending,Cancelled,4.9,17,Not Returned,"1,755,320",LCL1244,"Sunday, 19 April 2026","Wednesday, 6 May 2026"
Linda Wafula,Government,36,Coast,Mombasa,Mombasa,Mombasa Port Yard,Brian Otieno,Website,Subaru,Outback,Wagon,2020,Petrol,Automatic,Silver,1,"3,931,000",,0,"50,000",,M-Pesa,Completed,Cancelled,4,10,Not Returned,"3,512,280",ORD1030,"Tuesday, 1 December 2026","Wednesday, 11 February 2026"
Brian Wafula,Car Dealer,37,Coast,Mombasa,Mombasa,Mombasa Port Yard,Mary Wanjiku,Walk In,Mercedes,E250,Sedan,2019,Gasoline,Automatic,Pearl,1,"7,033,000","5,892,000",,"42,000","55,000",Bankers Cheque,Paid,In Transit,3.8,11,Not Returned,"6,367,500",ORD1109,,"Friday, 7 November 2025"
Linda Mugambi,Corporate,37,Coast,Mombasa,Mombasa,Mombasa Port Yard,Peter Kiptoo,Website,Honda,Vezel,Crossover,2021,Petrol,Automatic,Blue,1,"2,489,000","1,910,000",10,"120,000","110,000",Cash,Paid,At The Yard,2.8,38,Not Returned,"2,355,100",LCL1080,"Friday, 28 March 2025","Friday, 14 March 2025"
Linda Omondi,Ngo,37,Central,Kiambu,Thika,Thika Yard,Daniel Kimani,Facebook,Toyota,Lc200,Suv,2022,Diesel,Automatic,Green,1,"12,281,000","10,910,000",0,"120,000","128,000",Asset Financing,Paid,In Transit,2.3,1,Returned,"10,558,850",ORD1119,"Saturday, 13 June 2026","Tuesday, 23 June 2026"
Joy Wafula,Car Dealer,38,Coast,Mombasa,Mombasa,Mombasa Port Yard,Mary Wanjiku,Instagram,Isuzu,Dmax,Pickup,2018,Diesel,Automatic,White,1,"4,460,000","3,415,000",,"39,000","70,000",M-Pesa,Paid,At The Yard,3.9,6,Returned,"4,362,290",LC1088,"Saturday, 31 January 2026","Monday, 16 February 2026"
Aisha Mohamed,Ngo,38,Nairobi,Nairobi,Nairobi,Nairobi Yard,Faith Achieng,Instagram,Toyota,Corolla,Sedan,2025,Hybrid,Automatic,White,1,"2,004,000","1,785,000",0,"140,000","155,000",M-Pesa,Refunded,At The Yard,2,12,Returned,0,LCL1170,"Wednesday, 10 June 2026","Friday, 12 June 2026"
Hassan Mutua,Ngo,41,Nairobi,Nairobi,Nairobi,Nairobi Yard,Faith Achieng,Walk In,Bmw,Bmw X5,Suv,2023,Petrol,Automatic,Red,1,"9,721,000","8,010,000",0,"21,000","35,000",M-Pesa,Partially Paid,Delayed,,36,Not Returned,"9,255,950",ORD1262,"Wednesday, 17 December 2025","Tuesday, 6 January 2026"
Carol Ochieng,Government,42,Western,Kakamega,Kakamega,Kakamega Yard,Samuel Mutua,Website,Toyota,Fielder,Wagon,2018,Petrol,Automatic,Red,1,"1,840,000","1,661,000",0,"88,000","118,000",Bankers Cheque,Pending,In Transit,2.6,,Not Returned,"1,872,800",LCL1003,"Sunday, 15 February 2026","Wednesday, 25 February 2026"
Faith Maina,Individual,42,Eastern,Machakos,Athi River,Athi River Yard,Grace Njeri,Referral,Honda,Vezel,Crossover,2017,Petrol,Automatic,Blue,1,"3,042,000","2,319,000",,"166,000","211,000",M-Pesa,Paid,Delivered,3,16,Returned,"3,208,000",LC1206,"Sunday, 9 March 2025","Friday, 26 September 2025"
Winnie Kariuki,Government,42,Western,Kakamega,Kakamega,Kakamega Yard,Mary Wanjiku,Instagram,Honda,CrV,Suv,2025,Petrol,Automatic,Grey,1,,"3,781,000",0,"149,000","126,000",M-Pesa,Completed,Delivered,4.8,42,Not Returned,"3,941,600",ORD1272,"Sunday, 18 January 2026","Friday, 13 February 2026"
James Mugambi,Individual,43,Eastern,Machakos,Athi River,Athi River Yard,Faith Achieng,Whatsapp,Honda,Vezel,Crossover,2022,Petrol,Automatic,Red,1,"2,755,000","2,332,000",,"35,000","51,000",M-Pesa,Paid,Delivered,2.8,8,Not Returned,"2,707,350",LC1218,"Tuesday, 16 June 2026","Monday, 22 June 2026"
Linda Mwangi,Government,45,Rift Valley,Uasin Gishu,Eldoret,Eldoret Yard,Aisha Mohamed,Facebook,Honda,Fit,Hatchback,2024,Hybrid,Automatic,Pearl,1,"1,484,000","1,170,000",0,"45,000","76,000",Bank Transfer,Paid,Delivered,4.6,30,Not Returned,"1,454,800",CAR1183,"Friday, 4 December 2026","Saturday, 9 May 2026"
Brian Maina,Corporate,45,Western,Kakamega,Kakamega,Kakamega Yard,Mercy Atieno,Website,Subaru,Forester,Suv,2026,Petrol,Automatic,White,1,"3,043,000","2,323,000",0,"112,000",,Bankers Cheque,Paid,Delivered,4.3,30,Returned,"3,135,770",LCL1245,"Wednesday, 29 October 2025","Monday, 24 November 2025"
Peter Mohamed,Government,46,Coast,Mombasa,Mombasa,Mombasa Port Yard,Peter Kiptoo,Facebook,Toyota,Prado Tx,Suv,2026,Petrol,Automatic,Pearl,1,"6,472,000","5,411,000",0,"93,000","127,000",Bank Transfer,Deposit Paid,In Transit,2.2,11,Not Returned,"11,188,400",ORD1020,"Saturday, 8 November 2025","Saturday, 28 February 2026"
John Muthoni,Government,46,Rift Valley,Nakuru,Nakuru,Nakuru Yard,Kevin Mwangi,Corporate Tender,Bmw,Bmw X5,Saloon,2019,Hybrid,Automatic,Green,1,"4,301,000","3,311,000",7,"86,000","120,000",Asset Financing,Paid,Delivered,4,29,Returned,"4,085,929",ORD1079,"Wednesday, 23 July 2025","Thursday, 24 July 2025"
James Kiptoo,Individual,48,Eastern,Machakos,Athi River,Athi River Yard,Aisha Mohamed,Phone Call,Volkswagen,Golf,Hatchback,2020,Electric,Automatic,Silver,1,"2,444,000","1,994,000",0,"16,000","23,000",Bankers Cheque,Unpaid,Delivered,4.8,34,Not Returned,"2,288,920",LCL1164,"Sunday, 15 March 2026","Thursday, 2 April 2026"
Unknown,Car Dealer,49,Nyanza Region,Kisumu,Kisumu,Kisumu Yard,Daniel Kimani,Facebook,Toyota,Harrier,Suv,2023,Petrol,Automatic,Pearl,1,"4,807,000","4,189,000",12,"105,000","121,000",Asset Financing,Pending,Delivered,4.4,1,Not Returned,"4,335,160",CAR1125,"Saturday, 13 September 2025","Monday, 29 September 2025"
Kevin Mohamed,Car Dealer,51,Nairobi,Nairobi,Nairobi,Nairobi Yard,Grace Njeri,Walk In,Toyota,Hillux,Pickup,2018,Petrol,Automatic,White,1,"4,894,000","4,313,000",,"160,000","114,000",Asset Financing,Partially Paid,Delivered,3,34,Not Returned,"4,319,900",CAR1108,"Saturday, 3 May 2025","Sunday, 30 March 2025"
John Mugambi,Car Dealer,55,Central,Kiambu,Thika,Thika Yard,Brian Otieno,Referral,Isuzu,N-Series,Truck,2015,Petrol,Automatic,White,1,"4,783,000","3,640,000",0,"110,000","146,000",Bankers Cheque,Pending,Delivered,3.6,38,Not Returned,"4,653,850",LCL1230,"Monday, 12 May 2025","Monday, 19 May 2025"
Carol Kariuki,Car Dealer,55,Central,Kiambu,Thika,Thika Yard,Mercy Atieno,Walk In,Mercedes,Gle,Suv,2020,Petrol,Automatic,Green,1,"12,472,000","10,456,000",5,"66,000","86,000",Cash,Partially Paid,Delivered,2,37,Not Returned,"11,914,400",ORD1021,"Friday, 10 January 2025","Thursday, 23 January 2025"
Mary Kimani,Government,55,Central,Kiambu,Thika,Thika Yard,Daniel Kimani,Referral,Toyota,Prado Tx,Suv,2023,Petrol,Automatic,Green,1,"8,127,000","6,600,000",0,"43,000","65,000",M-Pesa,Paid,In Transit,3.1,34,Returned,"8,007,460",CAR1025,"Wednesday, 16 April 2025","Sunday, 4 May 2025"
Joseph Wanjiku,Individual,55,Nyanza Region,Kisumu,Kisumu,Kisumu Yard,Mercy Atieno,Corporate Tender,Isuzu,Dmax,Pickup,2026,Hybrid,Automatic,Black,1,"4,220,000","3,756,000",0,"105,000","124,000",Cash,Paid,Delayed,4.2,37,Not Returned,"4,240,600",CAR1058,"Tuesday, 23 December 2025","Wednesday, 14 January 2026"
Mary Kiptoo,Corporate,55,Central,Kiambu,Thika,Thika Yard,Mercy Atieno,Instagram,Isuzu,Dmax,Pickup,2015,Petrol,Automatic,Red,1,"4,230,000","3,526,000",0,"130,000","181,000",Bankers Cheque,Paid,Delivered,4.2,32,Not Returned,"4,233,100",LCL1204,"Monday, 26 May 2025","Thursday, 19 June 2025"
Hassan Omondi,Car Dealer,55,Central,Kiambu,Thika,Thika Yard,Daniel Kimani,Referral,Nissan,Navara,Pickup,2023,Petrol,Automatic,Grey,1,"4,661,000","3,891,000",7,"18,000","32,000",Asset Financing,Partially Paid,In Transit,3,33,Not Returned,"4,350,000",LCL1189,"Sunday, 28 December 2025","Thursday, 22 January 2026"
Linda Achieng,Ngo,56,Coast,Mombasa,Mombasa,Mombasa Port Yard,Mary Wanjiku,Phone Call,Mazda,Axela,Sedan,2025,Petrol,Automatic,Silver,1,"1,819,000","1,532,000",0,"150,000","203,000",Bankers Cheque,Paid,Delivered,4.2,20,Not Returned,,LC1098,,"Sunday, 21 June 2026"
Victor Maina,Ngo,56,Western,Kakamega,Kakamega,Kakamega Yard,Daniel Kimani,Phone Call,Toyota,Corolla,Sedan,2024,Petrol,Automatic,White,1,"1,775,000","1,401,000",0,"34,000","52,000",Bank Transfer,Paid,Delivered,4.7,29,Not Returned,"1,365,250",LCL1250,,"Tuesday, 26 August 2025"
Naomi Ochieng,Individual,56,Eastern,Machakos,Athi River,Athi River Yard,Samuel Mutua,Phone Call,Mitsubishi,Pajero,Suv,2025,Petrol,Automatic,Green,1,"5,509,000","4,827,000",3,"172,000","169,000",M-Pesa,Complete,Delivered,4.3,21,Returned,"6,070,000",ORD1063,"Friday, 3 January 2025","Wednesday, 26 March 2025"
Mary Wanjiku,Government,56,Rift Valley,Uasin Gishu,Eldoret,Eldoret Yard,Grace Njeri,Walk In,Toyota,Axio,Sedan,2016,Hybrid,Automatic,Pearl,1,"1,875,000","1,638,000",0,"48,000",,Bankers Cheque,Pending,At The Yard,3.7,20,Not Returned,"1,055,250",ORD1217,"Friday, 5 September 2025","Saturday, 7 June 2025"
Winnie Wanjiku,Car Dealer,57,Coast,Mombasa,Mombasa,Mombasa Port Yard,Peter Kiptoo,Instagram,Subaru,Forester,Suv,2021,Petrol,Automatic,Grey,1,"3,889,000","3,176,000",15,"143,000","139,000",Bankers Cheque,Paid,Delivered,3.3,,Not Returned,"3,448,650",CAR1055,"Friday, 15 August 2025","Wednesday, 27 August 2025"
Hassan Mwangi,Individual,57,Nairobi,Nairobi,Nairobi,Nairobi Yard,Faith Achieng,Instagram,Honda,Vezel,Crossover,2026,Petrol,Automatic,Grey,1,"3,028,000","2,401,000",1,"23,000","60,000",M-Pesa,Cancelled,Cancelled,2.7,0,Not Returned,,LC1198,"Monday, 27 October 2025",
Brian Wanjiku,Ngo,58,Central,Kiambu,Thika,Thika Yard,Mary Wanjiku,Instagram,Toyota,Land Cruiser,Suv,2018,Gasoline,Automatic,Grey,1,"14,682,000","11,987,000",0,,"151,000",Wire Transfer,Paid,Cancelled,2.8,3,Not Returned,"6,509,080",ORD1201,,"Tuesday, 24 February 2026"
Grace Kiptoo,Ngo,58,Rift Valley,Uasin Gishu,Eldoret,Eldoret Yard,Mercy Atieno,Walk In,Subaru,Impreza,Sedan,2022,Hybrid,Automatic,Pearl,1,"2,150,000","1,852,000",0,"62,000","80,000",Cash,Complete,Delivered,4.9,20,Not Returned,"1,674,500",LCL1243,"Sunday, 2 February 2025","Friday, 21 February 2025"
Grace Kiptoo,Government,59,Rift Valley,Nakuru,Nakuru,Nakuru Yard,Daniel Kimani,Facebook,Subaru,Outback,Wagon,2016,Petrol,Automatic,Silver,1,"3,495,000","3,038,000",10,"58,000","56,000",M-Pesa,Completed,In Transit,4,15,Not Returned,"3,203,500",CAR1264,"Sunday, 21 September 2025","Monday, 29 September 2025"
Mercy Mutua,Ngo,59,Central,Kiambu,Thika,Thika Yard,Aisha Mohamed,Phone Call,Mercedes,C200,Sedan,2019,Hybrid,Automatic,Green,1,"4,952,000",,0,"167,000","157,000",Cash,Paid,Delivered,4,13,Not Returned,,ORD1145,,"Monday, 1 December 2025"
Faith Mwangi,Ngo,61,Rift Valley,Uasin Gishu,Eldoret,Eldoret Yard,Daniel Kimani,Whatsapp,Honda,Vezel,Crossover,2024,Petrol,Automatic,White,1,"2,642,000","2,349,000",0,"94,000",,Bank Transfer,Paid,Cancelled,2.2,12,Not Returned,"2,736,000",CAR1154,,"Saturday, 28 February 2026"
Mary Mohamed,Corporate,61,Nyanza Region,Kisumu,Kisumu,Kisumu Yard,Grace Njeri,Instagram,Toyota,Prado Tx,Suv,2015,Gasoline,Automatic,White,1,"6,845,000","5,632,000",0,"178,000","148,000",Wire Transfer,Paid,Cancelled,2.8,32,Not Returned,"6,338,500",LC1158,"Wednesday, 13 August 2025","Friday, 15 August 2025"
Samuel Ochieng,Government,62,Rift Valley,Nakuru,Nakuru,Nakuru Yard,Samuel Mutua,Walk In,Toyota,Harrier,Suv,2022,Diesel,Automatic,Silver,1,"4,862,000",,12,"125,000","160,000",Cash,Partially Paid,In Transit,3.6,1,Not Returned,"4,403,560",LCL1136,"Friday, 19 June 2026","Saturday, 11 July 2026"
Linda Wafula,Car Dealer,63,Coast,Mombasa,Mombasa,Mombasa Port Yard,Mary Wanjiku,Whatsapp,Subaru,Forester,Suv,2023,Petrol,Automatic,Grey,1,"3,240,000",,0,0,"172,000",Asset Financing,Paid,Delivered,2.1,42,Not Returned,"3,313,800",LC1265,"Saturday, 27 December 2025","Sunday, 1 February 2026"
Winnie Njeri,Car Dealer,63,Eastern,Machakos,Athi River,Athi River Yard,Aisha Mohamed,Facebook,Mitsubishi,Canter,Truck,2016,Petrol,Automatic,Green,1,"4,338,000","3,534,000",15,"119,000","130,000",Bank Transfer,Cancelled,Cancelled,3.5,37,Not Returned,0,ORD1151,,"Thursday, 24 July 2025"
Joseph Omondi,Corporate,64,Coast,Mombasa,Mombasa,Mombasa Port Yard,Brian Otieno,Corporate Tender,Mitsubishi,Outlander,Suv,2021,Petrol,Automatic,Black,1,"3,444,000","2,841,000",0,"164,000","225,000",Bankers Cheque,Paid,Delivered,4.4,27,Not Returned,"3,539,120",CAR1248,"Tuesday, 11 November 2025","Tuesday, 9 December 2025"
Peter Mutua,Individual,65,Rift Valley,Nakuru,Nakuru,Nakuru Yard,Brian Otieno,Whatsapp,Toyota,Harrier,Suv,2026,Petrol,Automatic,Blue,1,"4,445,000","3,843,000",12,"46,000","52,000",Bank Transfer,Pending,Delivered,4.2,27,Returned,"3,957,600",CAR1227,"Tuesday, 7 January 2025","Monday, 7 July 2025"
N/A,Retail,65,Eastern,Machakos,Athi River,Athi River Yard,Faith Achieng,Walk In,Subaru,Outback,Wagon,2016,Diesel,Automatic,Black,1,"3,715,000","2,969,000",0,"845,000","174,000",Cash,Paid,Delivered,2.5,,Not Returned,"3,698,250",ORD1099,"Monday, 15 September 2025","Friday, 10 October 2025"
Victor Kiptoo,Government,66,Rift Valley,Uasin Gishu,Eldoret,Eldoret Yard,Grace Njeri,Phone Call,Bmw,Bmw X5,Sedan,2019,Hybrid,Automatic,Grey,1,"4,279,000","3,511,000",0,"31,000","42,000",Bankers Cheque,Cancelled,Cancelled,3.6,12,Returned,,LC1241,"Thursday, 16 October 2025","Saturday, 15 November 2025"
