Employee ID,First Name,Last Name,Department,Salary,Hire Date,Age,Gender,Performance Score,Full-Time,Bonus,Marital Status,Education Level,Work Experience (Years),Employee Type,Office Location,Project Count,Last Promotion Year,Remote Work Status,Annual Training Hours,Manager Feedback Score
10018,Lilian,kilonzo,Marketing,114422,2010-11-03 00:00:00,49,Female,1,No,9611.09,Divorced,High School,13,Intern,San Francisco,8,2022,Fully Remote,11,2.8
10019,Esther,Kiptoo,HR,80131,2018-04-06 00:00:00,44,Male,4,No,6281.95,Single,PhD,26,Contract,London,15,2021,Fully Remote,24,3.6
10020,Zipporah,Kariuki,IT,59410,2000-09-29 00:00:00,57,Male,7,No,2522.83,Married,Bachelor's,38,Permanent,San Francisco,14,2021,Hybrid,163,4
10021,Dennis,Korir,Finanace,88715,2014-08-13 00:00:00,27,Female,,Yes,7049.12,Married,PhD,1,Intern,NAIROBI,3,Never,Fully Remote,88,1.5
10022,Yusuf,Nyambura,Operations,68665,2013-05-13 00:00:00,32,Female,4,No,2454.59,Married,Associate's,2,Permanent,San Francisco,11,2020,Fully Remote,83,2
10023,Grace,Achieng,IT,45957,2010-10-29 00:00:00,59,Male,6,No,3723.9,,High School,39,Intern,San Fransisco,12,2013,Hybrid,157,1.8
10024,Timothy,Mwangi,Sales,78127,2010-10-02 00:00:00,55,M,5,No,2661.82,Widowed,Master's,13,Contract,Berlin,8,2014,Hybrid,114,4.4
10025,Wanjiku,Nyambura,IT,93589,2001-03-28 00:00:00,38,Male,1,No,2827.31,Divorced,Masters,27,Contract,New York,14,2018,Fully Remote,5,3.7
10026,Grace,Muli,IT,76008,2003-03-21 00:00:00,24,Female,8,Yes,544.23,Married,Bachelor's,4,Intern,New York,17,2010,Hybrid,149,2.8
10027,Yvonne,Awino,Operations,91920,2017-10-08 00:00:00,55,Female,7,No,8866.73,Single,PhD,20,Permanent,London,19,2011,On-Site,84,
10028,Hassan,barasa,Marketing,62875,2013-06-12 00:00:00,35.5,Male,5,Yes,3311.91,Married,High School,3,Permanent,London,6,2014,Hybrid,31,3.9
10029,Wairimu,Wambui,Finanace,31626,2001-02-17 00:00:00,50,Female,7,Yes,1320.56,Divorced,PhD,-1,Contract,San Fransisco,11,2014,On-Site,123,4.7
10030,caleb,Koech,HR,93822,2004-03-30 00:00:00,50,female,3,No,1326.38,Widowed,Bachelor's,2,Permanent,New York,9,2021,On-Site,127,1.3
10031,Oscar,Mugambi,Operations,101765,05-07-20,26,Male,8,Yes,5782.17,Married,High School,16,Intern,Londn,6,2016,On-Site,28,3
10032,zachary,Wafula,HR,102413,2017-11-09 00:00:00,31,Male,Excellent,Yes,9932.75,Divorced,Bachelor's,5 years,Intern,Tokyo,13,2017,Hybrid,194,3.8
10033,Gilbert,Njoroge,Operations,63642,2019-07-21 00:00:00,31,Male,2,No,KES 1877.71,Married,High School,28,Intern,London,14,2019,Hybrid,56,1.8
10034,Amina,Makori,HR,68311,2013-08-30 00:00:00,30,Male,2,YES,1446.41,Widowed,Bachelor's,18,Contract,Tokyo,3,2015,Hybrid,55,2.3
10035,Irene,Achieng,Finance,62356,2017-12-28 00:00:00,42,Male,N/A,No,4663.89,Widowed,Master's,2,Contract,London,7,2015,On-Site,198,2.7
10036,Stella,Mburu,IT,33809,2005-04-30 00:00:00,34,Male,7,No,5851.65,Married,PhD,14,Contract,New York,18,2014,Hybrid,61,
10037,James,Mboya,IT,73371,2014-03-31 00:00:00,31,,4,No,3296.61,Single,High School,20,Intern,Tokyo,18,2014,Fully Remote,59,3
10038,Peter,Makori,Sale,64875,2000-07-10 00:00:00,59,Male,9,Yes,3373.96,Divorced,PhD,23,Contract,San Francisco,4,2022,Fully Remote,57,3
10039,Kevin,Mboya,Marketing,39465,2000-02-10 00:00:00,32,Male,2,No,4532.53,Divorced,High School,7,Intern,Nairob,2,2021,Hybrid,93,2.7
10040,Daisy,Odhiambo,Human Resources,96095,2016-05-19 00:00:00,25,Male,6,Yes,3484.38,Married,High School,14,Permanent,London,9,,On-Site,23,1.9
10041,Peter,Mboya,Finance,103844,2005-02-02 00:00:00,52,Female,4,Yes,9195.65,Widowed,High School,37,Contract,San Francisco,14,2014,Hybrid,113,4.7
10042,Xavier,KARIUKI,Sales,95250,2016-02-18 00:00:00,55,Male,6,No,898.57,Divorced,Bachelor's,8,Permanent,London,1,2015,Fully Remote,145,2.3
10043,YUSUF,Odhiambo,Operations,116889,2003-08-25 00:00:00,63,Male,9,Y,2728.42,Widowed,Associate's,5,Permanent,San Francisco,9,2012,On-Site,33,3.3
10044,Stella,Korir,Marketing,45250,2009-06-11 00:00:00,56,Female,9,Yes,8181.25,Single,Bachelor's,23,Contract,New York,15,2023,Hybrid,138,
10045,Noah,Juma,Humna Resources,76023,2000-05-15 00:00:00,60,Female,9,No,8422.6,Married,high school,10,Contract,New York,2,2014,Hybrid,124,2.7
10046,Hassan,Kilonzo,Finance,76624,2016-03-06 00:00:00,60,male,9,No,1559.77,Single,Bachelor's,27,Permanent,Berlin,6,2023,On-Site,133,4.6
10047,Irene  Ann,Bett,HR,46427,2011-07-03 00:00:00,54,Female,3,Yes,N/A,Widowed,Associate's,35,Permanent,Berlin,18,2018,On-Site,156,5
10048,Irene,Makori,Operations,63276,2012-08-19 00:00:00,29,Female,9,Yes,7086.87,Widowed,High School,1,Permanent,Berlin,14,2012,Fully Remote,78,2.4
10049,Edwin,Odhiambo,Human Resource,101643,2005-04-25 00:00:00,53,Male,3,Yes,3089.63,Married,High School,7,Intern,Tokyo,11,2017,Hybrid,103,1.6
10050,Lucy,Juma,Marketing,109012,2019-01-18 00:00:00,54,Male,Excellent,Yes,4832.36,Widowed,Associate's,8,Permanent,London,1,2020,Fully Remote,10,2.3
10051,Noah,Koech,Sales,33439,2004-04-14 00:00:00,29,Male,5,Yes,3322.82,Widowed,Associate's,,Intern,Tokyo,12,,Fully Remote,180,2.3
10052,Valerie,Karanja,Sales,115848,2011-07-23 00:00:00,35,Female,6,No,1925.21,Married,PhD,5 years,Contract,Berlin,19,2013,On-Site,152,3.6
10053,Akoth,Koech,Finance,117331,2017-11-30 00:00:00,55,Male,9,No,3266.19,Single,High School,28,Permanent,London,18,2014,Hybrid,80,3
10054,Victor,Musyoka,Marketing,108672,2017-01-13 00:00:00,29,Female,1,No,6010.87,Divorced,Bachelor's,34,Perm,Tokyo,6,2017,Fully Remote,71,4.1
10055,Nancy,Koech,Finance,109703,not available,63,Male,8,No,8346.71,Divorced,PhD,20,Permanent,New York,2,2019,Fully Remote,187,3.8
10056,Rose,Kilonzo,Marketing,47300,2004-04-07 00:00:00,28,Female,4,Yes,3953.53,Widowed,Associate's,28,Contract,London,5,2016,On-Site,22,2
10057,BRIAN,Achieng,Sales,90289,2015-12-08 00:00:00,34,Male,7,No,KES 3805.06,Divorced,Bachelor's,37,Permanent,Berlin,0,2019,Remote,25,4.1
10058,Yusuf,Atieno,IT,47182,2005-10-22 00:00:00,42,Female,6,No,4946.01,Widowed,Master's,3,Intern,,1,2019,Hybrid,196,4.4
10059,Wairimu,Kariuki,HR,100507,2002-10-25 00:00:00,53,Male,6,Yes,6623.28,Divorced,,9,Contract,London,0,2011,Fully Remote,169,3.4
10060,Irene,Moraa,IT,80912,2016-07-13 00:00:00,32,Male,7,Yes,KES 7640.35,Single,Master's,22,Contract,Tokio,3,2017,on-site,23,4.7
10061,Winnie,Muthoni,HR,56909,2009-09-04 00:00:00,35,Male,4,yes,3604.6,Divorced,Bachelor's,25,Permanent,San Francisco,4,2017,Hybrid,60,4.1
10062,Peter.,Muthoni,Sales,49659,2000-03-22 00:00:00,32,Female,6,No,6070.35,Widowed,Bachelors,2,Intern,Nairobi,1,2018,Fully Remote,194,3.4
10063,Zachary,Wambui,IT,61403,2015-06-27 00:00:00,23,Female,3,No,4198.93,Widowed,Bachelor's,23,Intern,Berlin,15,2011,Fully Remote,22,4.6
10064,Yara,Kiprotich,IT,63586,2002-02-14 00:00:00,55,Male,5,Yes,KES 7305.8,Widwowed,PhD,17,Intern,Tokyo,7,2023,Hybrid,162,3.4
10065,Rose,Kiprotich,Humman Res.,40360,2008-04-26 00:00:00,38,Male,2,Yes,2064.41,Married,PhD,25,Permanent,New York,14,2013,Hybrid,188,3.1
10066,Vincent,Kimani,Operations,51424,2011-12-22 00:00:00,35,Male,3,No,2940.79,Single,Master's,12,Contract,New York,10,2011,Hybrid,110,
10067,Xavier,Onyango,Sales,78791,2007-11-27 00:00:00,46,Female,9,Yes,4547.57,N/A,Associate's,27,Permanent,New York,9,2013,Hybrid,174,4.5
10068,Ruth,Bett,Marketing,33065,2005-02-21 00:00:00,48,Male,6,Yes,8949.44,Divorced,PhD,20,Intern,London,2,2012,On site,57,1.5
10069,Hope,Muli,Sales,98795,2006-03-21 00:00:00,29,,3,Yes,5946.59,Married,High School,9,Intern,Berlin,10,2016,Hybrid,90,2.9
10070,Njeri,Moraa,human resources,42300,2004-05-26 00:00:00,38,Female,0,No,9671.26,Divorced,High School,23,Contract,Nairobi,16,2023,Hybrid,54,3.1
10071,Omari,Musyoka,Marketing,63370,2008-08-05 00:00:00,,Female,5,No,N/A,Widowed,Master's,36,intern,New York,9,2014,On-Site,131,3.2
10072,Daisy,Achieng,HR,99831,2001-08-28 00:00:00,33,Female,5,No,4871.67,Married,Master's,28,Permanent,Tokyo,16,2016,Fully Remote,8,3.6
10073,Oscar,Awino,Marketing,57209,2016-11-14 00:00:00,59,Female,1,Yes,4481.25,Single,Master's,29,intern,Berlin,13,2011,Hybrid,67,3
10074,Hope,Odhiambo,Marketing,50927,2012-12-18 00:00:00,39,Male,3,Yes,6201.96,Married,PhD,32,Contract,Nairobi,0,2013,On-Site,199,2
10075,Dennis.,Naliaka,Finance,64579,2009-05-07 00:00:00,47,Female,7,No,KES 8213.66,Widowed,Associate's,12,Contract,Tokyo,8,2015,Fully Remote,117,4.4
10076,Baraka,Makori,IT,39032,,52,Female,,Yes,8493.76,Widowed,Master's,30,Intern,Tokyo,14,2021,Hybrid,60,3.6
10077,James,Barasa,Sales,108413,2016-02-11 00:00:00,58,Female,0,Yes,6866.85,Divorced,Bachelor's,11,Permanent,New York,3,2014,On-Site,181,4.4
10078,Valerie,Muthama,Sales,70731,,27,Female,4,No,6594.6,Married,Master's,37,Permanent,Berlin,19,2020,Fully Remote,154,2.1
10079,Kevin,Wekesa,Marketing,83767,2020/13/05,62,Male,3,Yes,9515.78,Widowed,PhD,20,Contract,San Francisco,2,2011,Hybrid,144,3.5
10080,Rahab,Muli,Operations,102302,2005-11-14 00:00:00,36,Female,9,Yes,4145.03,Widowed,Associate's,11,Temporary,London,19,2021,On-Site,181,3.9
EMP-10081,Vincent,Kamau,Sales,79954,2019-02-30,63,Female,7,Yes,8411.44,Married,Master's,38,Intern,San Francisco,6,2016,Remote,17,N/A
10082,Grace,Nyambura,Hr,118365,2011-09-10 00:00:00,47,Male,7,Yes,9254.29,Married,High School,16,Contract,London,2,2011,On-Site,109,4.2
10083,Hope,Maina,HR,115757,2010-04-23 00:00:00,33,Male,8,No,5169.62,Divorced,Master's,35,Permanent,Berlin,14,2023,On-Site,37,1
10084,Yvonne.,Langat,Markting,55102,2003-10-08 00:00:00,62,Female,1,Yes,7426.47,Married,Master's,1,Permanent,Nairobi,9,2018,Hybrid,179,3.4
10085,Cynthia,Muthoni,HR,64433,not available,35,Male,4,No,4081.69,Widowed,Associate's,25,Temporary,New York,15,2016,Onsite,68,3.5
10086,Ruth,Otieno,Marketing,45932,2019-12-09 00:00:00,22,Female,5,No,2009.35,Single,Bachelor's,27,Intern,Berlin,16,2021,Hybird,87,3.1
10087,Amina,Sang,Finance,55714,2000-12-13 00:00:00,38,Female,5,No,6071.79,Widowed,High School,32,Permanent,San Francisco,18,2012,Hybrid,109,3.5
10088,Lucy,Ochieng,Humman Res.,87803,2022-06-01,54,Male,1,No,2366.48,Widowed,Master's,6,Permanent,Tokyo,0,2015,On-Site,149,
10089,Zipporah,Abdi,Marketing,69743,2000-03-03 00:00:00,50,Female,3,Yes,4847.19,Widowed,PhD,36,Intern,London,0,2014,hybrid,38,3.7
10090,Miriam,Muli,Finance,32552,2004-11-18 00:00:00,52,Male,2,N,8792.35,Married,Associate's,39,Contract,London,13,2021,On-Site,72,2.3
10091,Oscar,Abdi,Finance,86627,2010-06-11 00:00:00,29,Male,7,No,1317.17,Single,PhD,23,Permanent,San Francisco,1,2018,On-Site,43,2.8
10091,Oscar,Abdi,Finance,86627,2010-06-11 00:00:00,29,Male,7,No,1317.17,Single,PhD,23,Permanent,San Francisco,1,2018,On-Site,43,2.8
10093,Kennedy,Otieno,Marketing,109810,2017-12-23 00:00:00,34,Female,3,No,6261.54,Married,Master's,5 years,Intern,,19,2012,Hybrid,137,2.9
10094,Pauline,Karanja,Marketing,75380,2002-11-08 00:00:00,37,Male,8,No,3645.08,Single,High School,22,contractor,San Francisco,9,2011,On-Site,44,3.5
10095,James,Mutua,Finance,59250,2016-11-26 00:00:00,23,Female,1,Yes,4470.41,Single,PhD,11,Intern,Berlin,14,2011,Fully Remote,67,4.4
10096,harun,Musyoka,Finance,98344,2002-04-24 00:00:00,39,Male,1,No,4354.25,Single,high school,26,Contract,New York,14,2013,On-Site,133,2.9
10097,Stella,Njoroge,Finance,94686,2007-05-04 00:00:00,56,Male,6,No,1322.89,,Master's,23,Contract,Tokyo,6,2022,Fully Remote,167,2.3
10098,Pauline,Juma,Sales,75028,2011-04-12 00:00:00,40,Male,1,no,533.88,Divorced,Associates,3,Perm,Berlin,7,2010,Hybrid,149,3
,George,Langat,Marketing,45295,2019-02-10 00:00:00,34,Male,4,No,9035.02,Widowed,High School,6,Intern,New York,10,2018,On-Site,98,3.8
10100,Joy,Mwangi,Finance,85248,2019-07-06 00:00:00,25,female,6,Yes,2569.09,Divorced,Bachelor's,7,Permanent,San Francisco,15,2012,Fully Remote,103,2.4
10101,Mercy,Wafula,HR,110205,,40,Female,1,Yes,4547.75,Single,Associate's,39,Permanent,Nairobi,6,2021,Fully Remote,None,2.7
10102,Janet,Muriuki,Information Tech,40523,2005-06-07 00:00:00,46,Female,9,Yes,9733.3,Married,High School,22,Permanent,Tokyo,19,2022,Hybrid,133,3.3
10103,Hope,Makori,Sales,75530,2011-08-27 00:00:00,59,Female,4,No,8354.24,Divorced,Associate's,33,Permanent,SF,8,2014,On-Site,136,2.2
10104,Rose,Kamau,HR,43769,2003-07-02 00:00:00,52,Female,N/A,Yes,1525.34,Widowed,Master's,3,Intern,Tokyo,18,2011,On-Site,141,1.8
10105,Gilbert,Njoki,,93042,2004-05-13 00:00:00,57,Female,9,No,5330.93,,Bachelor's,30,Temporary,London,0,2017,Hybrid,49,1.6
10106,Timothy,Bett,Marketing,74645,2017-02-17 00:00:00,25,Male,6,No,7435.75,Divorced,Associate's,24,Perm,Nairobi,17,2020,Hybrid,164,2.4
10107,Zipporah,Moraa,Operatons,92142,2006-12-26 00:00:00,60,Female,7,No,7134.73,Married,high school,3,Permanent,New York,7,2020,Hybrid,73,1.2
10108,Hope,Maina,Finance,55557,2005-05-06 00:00:00,28,Male,N/A,No,7728,Married,Associate's,2,Permanent,Berlin,7,2023,Fully Remote,18,3.3
10109,Abdi,Moraa,Sales,109782,2004-08-22 00:00:00,37,Male,5,No,4845.82,Single,Associate's,19,Contract,San Francisco,7,2012,Fully Remote,183,1.7
10110,Hope,Mboya,Finance,"108,382",2002-08-12 00:00:00,26,Male,3,Yes,2171.27,Married,PhD,24,Permanent,Tokyo,13,2014,Hybrid,155,2.5
10111,Harun,Moraa,,67085,2009-01-04 00:00:00,44,Female,11,No,4916.29,Divorced,Bachelor's,20,Contract,Tokyo,1,2016,On-Site,178,2.1
10112,Stella,Njoki,Operations,$80708,2000-12-22 00:00:00,57,female,4,Yes,6654.93,Widowed,Associate's,31,Intern,Tokyo,2,2011,Fully Remote,159,3.5
10113,Irene,njoki,Finance,81357,2017-04-13 00:00:00,53,Female,9,Yes,6281.62,Single,PhD,31,Contract,New York,6,2012,Hybrid,93,4.4
10113,Irene,njoki,Finance,81357,2017-04-13 00:00:00,53,Female,9,Yes,6281.62,Single,PhD,31,Contract,New York,6,2012,Hybrid,93,4.4
10115,Nancy,Mugambi,Sales,108712,2002-08-26 00:00:00,46,Female,4,No,KES 1117.05,Divorced,Bachelor's,29,Intern,New York,14,2019,Fully Remote,36,3.2
10116,Isaac,Kariuki,Finance,KES 109082,2000-08-29 00:00:00,49,Female,6,No,9669.95,Divorced,Master's,4,Contract,San Francisco,10,2023,Hybrid,77,3.7
10117,Dennis,Wambui,Marketing,36805,2009-06-08 00:00:00,99,,2,No,1942.15,Single,Bachelor's,10,Permanent,Berlin,1,2017,On-Site,198,1.1
10118,Faith,Makori,Sales,112324,2011-08-05 00:00:00,28,male,3,Yes,3297.39,Single,Associate's,36,Intern,London,17,2012,On-Site,174,1.5
10119,Moses,Njoki,Sales,92028,2005-11-14 00:00:00,62,Female,7,No,7792.53,Married,Master's,35,Intern,San Francisco,13,2022,,54,1.4
10120,Akoth,Kiprotich,Finance,80772,2000-05-26 00:00:00,38,Male,4,Yes,KES 4391.93,Married,Bachelor's,21,Contract,Nairobi,17,2019,On-Site,61,1.4
10121,Brian,Koech,Operations,82104,2014-03-04 00:00:00,23,Female,7,NO,2223.92,Widowed,Bachelor's,1,Permanent,New York,1,2021,On-Site,121,2
10122,Oscar,Mboya,Finance,103616,2014-02-17 00:00:00,37,Female,9,No,4938.71,Single,Bachelor's,12,Contract,New York,3,2016,Hybrid,196,3.1
10123,Noah,Mboya,IT,119300,2019-03-11 00:00:00,60,Male,5,No,5905.02,Single,Bachelor's,24,Intern,New York,13,2023,Hybird,178,1.5
10124,Miriam,Njoroge,IT,36630,2001-06-26 00:00:00,39,Female,1,No,4801.28,Divorced,Master's,2,contractor,London,6,2020,Hybrid,115,
10125,Hope,Ochieng,HR,45701,2001-11-22 00:00:00,60,Female,5,Yes,9229.99,Widowed,Associate's,20,Permanent,San Francisco,14,2022,On-Site,93,4.4
10126,Hope,Wafula,Sales,44859,2002-10-22 00:00:00,22,Female,6,Yes,3204.64,Married,PhD,16,Intern,San Francisco,5,2011,On-Site,108,4.9
10127,Zachary,Cherono,Finance,51183,2011-02-02 00:00:00,24,Female,2,Yes,6782.66,Widowed,Bachelor's,34,Permanent,San Francisco,4,2018,Hybrid,58,1.2
10128,daisy,Awino,Operatons,70438,2010-12-19 00:00:00,42,Female,8,No,1566.8,Widowed,PhD,13,Contract,San Francisco,19,2022,On-Site,57,4.4
10129,Pauline,Njoroge,IT,72244,2009-03-13 00:00:00,51,Male,2,No,4226.71,Divorced,PhD,18,Intern,Tokyo,17,2022,Hybrid,161,4.2
10130,Samuel,Mburu,Operations,104312,2014-05-24 00:00:00,32,Female,9,No,7539.44,Single,PhD,29,Intern,Tokyo,10,2017,Onsite,169,0
10131,Dennis,Odhiambo,Marketing,45021,2015-09-15 00:00:00,43,Male,2,No,2635.76,Single,Bachelor's,14,Permanent,Nairobi,7,2018,Fully Remote,73,3.1
10132,Nancy,Sang,Operations,99863,2008-01-30 00:00:00,46,Female,3,No,6102.82,Married,Bachelor's,30,Permanent,New York,11,2018,On-Site,18,4.2
10133,Grace.,Barasa,HR,85565,2001-12-30 00:00:00,24,Male,8,No,1957.65,Married,Bachelor's,35,Contract,Tokyo,17,2016,On-Site,159,1.2
10134,Caleb,Ochieng,Operations,78043,2017-09-22 00:00:00,51,Male,6,No,1475.67,Widowed,Bachelor's,9,Permanent,NAIROBI,14,2013,On-Site,9,1.3
10135,Wanjiku,Kimani,Finance,103150,2018-07-05 00:00:00,45,Male,1,Yes,5470.71,Widowed,High School,37,Intern,San Francisco,7,2021,On-Site,122,1.5
10136,Victor,Ndegwa,Marketing,94361,2012-04-26 00:00:00,57,Female,4,Yes,-,Widowed,Associate's,39,Temporary,Tokyo,3,2021,Fully Remote,176,4.7
10137,Queen,Ndegwa,Sales,31245,2006-12-30 00:00:00,44,Female,5,Yes,1576.99,Single,High School,12,Contrct,Berlin,14,2014,Hybrid,147,1.2
10138,Dennis,Karanja,HR,KES 71011,2016-07-10 00:00:00,29,Male,3,Yes,9218.87,Widowed,Master's,21,Contract,Nairobi,10,2016,Fully Remote,71,1.4
10139,Daisy,Naliaka,Markting,40355,2003-02-24 00:00:00,25,Female,1,Y,2644.84,Married,High School,18,Permanent,New York,0,2022,Hybrid,5,4.7
10140,Moses,Muthama,Sales,78692,2004-10-01 00:00:00,99,Female,3,No,1639.77,Single,High School,11,Permanent,London,1,2014,On-Site,156,1.4
10141,Eunice,wambui,finance,79004,2002-11-04 00:00:00,64,Male,9,No,2425.64,Married,High School,27,Contrct,Nairobi,7,2021,hybrid,113,4.5
10142,Hope,Muriuki,Operations,59714,2017-06-09 00:00:00,52,Female,2,Yes,2110.94,Single,Associate's,24,Contract,New York,15,2019,Hybrid,66,4.2
10143,Wairimu,Kiptoo,Info Tech,47198,2019-07-07 00:00:00,50,Male,1,NO,1361.41,Married,PhD,34,Contract,New York,0,2017,Hybrid,82,1.2
10144,Purity,ODHIAMBO,HR,96951,,57,Female,7,Yes,8079.47,Widwowed,,20,Contract,New York,,2014,Hybrid,61,1.1
10145,Baraka,Mutua,IT,31652,2019-11-29 00:00:00,34,Male,7,Yes,5207.61,Married,Master's,13,Intern,Nairobi,17,2014,Fully Remote,24,3.1
10146,Caleb,Ochieng,Operations,73625,2013-04-02 00:00:00,62,Female,5,Yes,4190.93,Widowed,Masters,8,Permanent,Nairobi,15,2014,On-Site,190,5
10147,Esther,Odhiambo,IT,115982,2006-12-15 00:00:00,30,Female,2,No,9530.97,Married,High School,37,permanent,Tokyo,19,2013,On-Site,18,4.5
10147,BARAKA,Chebet,IT,48740,2012-02-01 00:00:00,42,Male,1,No,4024.58,Divorced,PhD,5,Permanent,New York,19,2030,Hybrid,185,2.2
10149,Rahab,Chebet,Sales,33810,2003-05-27 00:00:00,24,Male,5,Yes,2086.24,Married,Bachelor's,7,Permanent,San Francisco,12,2021,On-Site,39,2.5
10150,Fiona,Wafula,Finance,46569,2002-02-11 00:00:00,46,Female,4,Yes,3103.41,Married,Associate's,12,Permanent,New York,19,2020,Fully Remote,194,2.6
10151,Yara,Cherono,IT,109120,2005-03-31 00:00:00,46,Male,9,No,2770.18,Married,PhD,4,Permanent,San Francisco,3,2021,Hybrid,193,Good
10152,James,WAMBUI,IT,56783,2009-05-05 00:00:00,33,Male,5,Yes,5238.04,single,Associate's,19,Permanent,,3,2016,On-Site,151,2.4
,Oscar,Juma-Jr,IT,108047,2006-11-04 00:00:00,50,Male,2,No,3269.3,Single,Associate's,1,Intern,Tokyo,ten,2011,On-Site,88,1.6
10154,Winnie,Njoki,Finanace,39471,2009-06-02 00:00:00,32,Male,4,Yes,-,Widowed,Bachelor's,13,Permanent,,12,2019,Hybrid,46,4
10155,Dennis,Were,HR,36163,2013-10-18 00:00:00,32,Male,9,No,6858.29,Widowed,phd,25,Contract,Nairobi,12,2022,Fully Remote,176,5.5
10156,Valerie,Mwangi,Operations,93087,2019-02-21 00:00:00,47,Female,8,Yes,7884.34,Widowed,High School,34,Contract,San Francisco,19,2013,Hybrid,102,1.3
10157,STELLA,Kamau,Sales,92071,2019-08-09 00:00:00,35,Male,3,No,7246.5,Single,PhD,35,Contract,San Francisco,6,2020,On-Site,,4.2
10158,Zipporah.,Ochieng,IT,46065,not available,37,Male,8,Yes,2453.11,Married,PhD,17,Intern,San Francisco,6,2012,On-Site,72,3.3
10159,Lucy,Achieng,Marketing,113456,2009-09-15 00:00:00,31,Male,2,No,1601.05,Married,High School,26,Permanent,San Francisco,16,2019,On-Site,108,3
10160,Dennis,Kiptoo,HR,78348,2003-04-28 00:00:00,52,Male,3,Yes,5653.28,Widowed,Bachelor's,21,Contract,London,9,2022,Hybird,82,3.7
10161,Abdi,Njoroge,Operations,49154,2008-01-10 00:00:00,52,Female,5,No,2389.66,Divorced,PhD,12,Contract,Tokyo,11,2017,Hybrid,178,3
10162,PURITY,Chebet,Marketing,50229,2001-02-22 00:00:00,57,Male,8,Yes,1306.87,Married,High School,16,Contract,San Francisco,15,2016,On-Site,55,3.6
10163,Purity,Koech,Sales,82587,2010-05-09 00:00:00,31,Female,1,Yes,5507.4,Married,Associate's,20,Permanent,London,1,2012,Hybrid,36,4.5
10164,Edwin,Musyoka,Sales,79713,2013-07-31 00:00:00,47,F,4,Yes,3604.54,Married,Associate's,10,Contract,Berlin,8,2013,Fully Remote,104,3.5
